"Time","image-stats-746c9bfb67-rrk77"
2025-07-07 19:12:26,35.1 MiB
2025-07-07 19:12:27,35.1 MiB
2025-07-07 19:12:28,35.1 MiB
2025-07-07 19:12:29,35.1 MiB
2025-07-07 19:12:30,35.1 MiB
2025-07-07 19:12:31,35.1 MiB
2025-07-07 19:12:32,35.1 MiB
2025-07-07 19:12:33,35.1 MiB
2025-07-07 19:12:34,35.1 MiB
2025-07-07 19:12:35,35.1 MiB
2025-07-07 19:12:36,35.1 MiB
2025-07-07 19:12:37,35.1 MiB
2025-07-07 19:12:38,35.4 MiB
2025-07-07 19:12:39,35.4 MiB
2025-07-07 19:12:40,35.4 MiB
2025-07-07 19:12:41,35.4 MiB
2025-07-07 19:12:42,35.4 MiB
2025-07-07 19:12:43,35.4 MiB
2025-07-07 19:12:44,35.4 MiB
2025-07-07 19:12:45,35.4 MiB
2025-07-07 19:12:46,35.4 MiB
2025-07-07 19:12:47,35.4 MiB
2025-07-07 19:12:48,35.4 MiB
2025-07-07 19:12:49,35.4 MiB
2025-07-07 19:12:50,35.4 MiB
2025-07-07 19:12:51,35.4 MiB
2025-07-07 19:12:52,35.4 MiB
2025-07-07 19:12:53,35.4 MiB
2025-07-07 19:12:54,35.4 MiB
2025-07-07 19:12:55,35.4 MiB
2025-07-07 19:12:56,35.4 MiB
2025-07-07 19:12:57,35.4 MiB
2025-07-07 19:12:58,35.4 MiB
2025-07-07 19:12:59,35.4 MiB
2025-07-07 19:13:00,35.4 MiB
2025-07-07 19:13:01,35.4 MiB
2025-07-07 19:13:02,35.4 MiB
2025-07-07 19:13:03,35.4 MiB
2025-07-07 19:13:04,35.4 MiB
2025-07-07 19:13:05,36.2 MiB
2025-07-07 19:13:06,36.2 MiB
2025-07-07 19:13:07,36.2 MiB
2025-07-07 19:13:08,36.2 MiB
2025-07-07 19:13:09,36.2 MiB
2025-07-07 19:13:10,36.2 MiB
2025-07-07 19:13:11,36.2 MiB
2025-07-07 19:13:12,36.2 MiB
2025-07-07 19:13:13,36.2 MiB
2025-07-07 19:13:14,36.2 MiB
2025-07-07 19:13:15,36.2 MiB
2025-07-07 19:13:16,36.2 MiB
2025-07-07 19:13:17,36.2 MiB
2025-07-07 19:13:18,36.2 MiB
2025-07-07 19:13:19,36.2 MiB
2025-07-07 19:13:20,36.2 MiB
2025-07-07 19:13:21,36.2 MiB
2025-07-07 19:13:22,36.2 MiB
2025-07-07 19:13:23,36.2 MiB
2025-07-07 19:13:24,36.2 MiB
2025-07-07 19:13:25,36.2 MiB
2025-07-07 19:13:26,36.2 MiB
2025-07-07 19:13:27,36.2 MiB
2025-07-07 19:13:28,36.2 MiB
2025-07-07 19:13:29,36.2 MiB
2025-07-07 19:13:30,36.2 MiB
2025-07-07 19:13:31,36.2 MiB
2025-07-07 19:13:32,36.2 MiB
2025-07-07 19:13:33,36.2 MiB
2025-07-07 19:13:34,36.2 MiB
2025-07-07 19:13:35,36.2 MiB
2025-07-07 19:13:36,36.2 MiB
2025-07-07 19:13:37,36.2 MiB
2025-07-07 19:13:38,36.2 MiB
2025-07-07 19:13:39,36.2 MiB
2025-07-07 19:13:40,36.2 MiB
2025-07-07 19:13:41,36.2 MiB
2025-07-07 19:13:42,36.2 MiB
2025-07-07 19:13:43,36.2 MiB
2025-07-07 19:13:44,36.2 MiB
2025-07-07 19:13:45,36.2 MiB
2025-07-07 19:13:46,36.2 MiB
2025-07-07 19:13:47,36.2 MiB
2025-07-07 19:13:48,36.2 MiB
2025-07-07 19:13:49,36.2 MiB
2025-07-07 19:13:50,36.2 MiB
2025-07-07 19:13:51,36.2 MiB
2025-07-07 19:13:52,36.2 MiB
2025-07-07 19:13:53,36.2 MiB
2025-07-07 19:13:54,36.2 MiB
2025-07-07 19:13:55,36.2 MiB
2025-07-07 19:13:56,36.2 MiB
2025-07-07 19:13:57,36.2 MiB
2025-07-07 19:13:58,36.2 MiB
2025-07-07 19:13:59,36.2 MiB
2025-07-07 19:14:00,36.2 MiB
2025-07-07 19:14:01,36.2 MiB
2025-07-07 19:14:02,36.2 MiB
2025-07-07 19:14:03,36.2 MiB
2025-07-07 19:14:04,36.2 MiB
2025-07-07 19:14:05,36.2 MiB
