"Time","{instance=""worker3"", interface=""lxcc7a949fee869""}"
2025-07-07 19:12:32,675 kB/s
2025-07-07 19:12:33,862 kB/s
2025-07-07 19:12:34,862 kB/s
2025-07-07 19:12:35,862 kB/s
2025-07-07 19:12:36,862 kB/s
2025-07-07 19:12:37,862 kB/s
2025-07-07 19:12:38,862 kB/s
2025-07-07 19:12:39,862 kB/s
2025-07-07 19:12:40,862 kB/s
2025-07-07 19:12:41,862 kB/s
2025-07-07 19:12:42,862 kB/s
2025-07-07 19:12:43,681 kB/s
2025-07-07 19:12:44,695 kB/s
2025-07-07 19:12:45,710 kB/s
2025-07-07 19:12:46,724 kB/s
2025-07-07 19:12:47,738 kB/s
2025-07-07 19:12:48,862 kB/s
2025-07-07 19:12:49,862 kB/s
2025-07-07 19:12:50,862 kB/s
2025-07-07 19:12:51,862 kB/s
2025-07-07 19:12:52,862 kB/s
2025-07-07 19:12:53,862 kB/s
2025-07-07 19:12:54,862 kB/s
2025-07-07 19:12:55,862 kB/s
2025-07-07 19:12:56,862 kB/s
2025-07-07 19:12:57,862 kB/s
2025-07-07 19:12:58,734 kB/s
2025-07-07 19:12:59,720 kB/s
2025-07-07 19:13:00,705 kB/s
2025-07-07 19:13:01,691 kB/s
2025-07-07 19:13:02,677 kB/s
2025-07-07 19:13:03,862 kB/s
2025-07-07 19:13:04,862 kB/s
2025-07-07 19:13:05,862 kB/s
2025-07-07 19:13:06,862 kB/s
2025-07-07 19:13:07,862 kB/s
2025-07-07 19:13:08,862 kB/s
2025-07-07 19:13:09,862 kB/s
2025-07-07 19:13:10,862 kB/s
2025-07-07 19:13:11,862 kB/s
2025-07-07 19:13:12,862 kB/s
2025-07-07 19:13:13,567 kB/s
2025-07-07 19:13:14,579 kB/s
2025-07-07 19:13:15,591 kB/s
2025-07-07 19:13:16,603 kB/s
2025-07-07 19:13:17,615 kB/s
2025-07-07 19:13:18,719 kB/s
2025-07-07 19:13:19,719 kB/s
2025-07-07 19:13:20,719 kB/s
2025-07-07 19:13:21,719 kB/s
2025-07-07 19:13:22,719 kB/s
2025-07-07 19:13:23,719 kB/s
2025-07-07 19:13:24,719 kB/s
2025-07-07 19:13:25,719 kB/s
2025-07-07 19:13:26,719 kB/s
2025-07-07 19:13:27,719 kB/s
2025-07-07 19:13:28,614 kB/s
2025-07-07 19:13:29,602 kB/s
2025-07-07 19:13:30,590 kB/s
2025-07-07 19:13:31,578 kB/s
2025-07-07 19:13:32,566 kB/s
2025-07-07 19:13:33,403 kB/s
2025-07-07 19:13:34,403 kB/s
2025-07-07 19:13:35,403 kB/s
2025-07-07 19:13:36,403 kB/s
2025-07-07 19:13:37,403 kB/s
2025-07-07 19:13:38,403 kB/s
2025-07-07 19:13:39,403 kB/s
2025-07-07 19:13:40,403 kB/s
2025-07-07 19:13:41,403 kB/s
2025-07-07 19:13:42,403 kB/s
2025-07-07 19:13:43,57.5 kB/s
2025-07-07 19:13:44,58.7 kB/s
2025-07-07 19:13:45,59.9 kB/s
2025-07-07 19:13:46,61.1 kB/s
2025-07-07 19:13:47,62.4 kB/s
2025-07-07 19:13:48,73.1 kB/s
2025-07-07 19:13:49,73.1 kB/s
2025-07-07 19:13:50,73.1 kB/s
2025-07-07 19:13:51,73.1 kB/s
2025-07-07 19:13:52,73.1 kB/s
2025-07-07 19:13:53,73.1 kB/s
2025-07-07 19:13:54,73.1 kB/s
2025-07-07 19:13:55,73.1 kB/s
2025-07-07 19:13:56,73.1 kB/s
2025-07-07 19:13:57,73.1 kB/s
2025-07-07 19:13:58,62.4 kB/s
2025-07-07 19:13:59,61.2 kB/s
2025-07-07 19:14:00,60.0 kB/s
2025-07-07 19:14:01,58.8 kB/s
2025-07-07 19:14:02,57.6 kB/s
2025-07-07 19:14:03,1.05 kB/s
2025-07-07 19:14:04,1.05 kB/s
2025-07-07 19:14:05,1.05 kB/s
2025-07-07 19:14:06,1.05 kB/s
2025-07-07 19:14:07,1.05 kB/s
2025-07-07 19:14:08,1.05 kB/s
2025-07-07 19:14:09,1.05 kB/s
2025-07-07 19:14:10,1.05 kB/s
2025-07-07 19:14:11,1.05 kB/s
2025-07-07 19:14:12,1.05 kB/s
2025-07-07 19:14:13,864 B/s
2025-07-07 19:14:14,883 B/s
2025-07-07 19:14:15,901 B/s
