"Time","image-filter-cfbfd9b5f-vdtq9"
2025-07-07 19:12:26,0.00176 cores
2025-07-07 19:12:27,0.00168 cores
2025-07-07 19:12:28,0.00168 cores
2025-07-07 19:12:29,0.00168 cores
2025-07-07 19:12:30,0.00168 cores
2025-07-07 19:12:31,0.00168 cores
2025-07-07 19:12:32,0.00168 cores
2025-07-07 19:12:33,0.00168 cores
2025-07-07 19:12:34,0.00168 cores
2025-07-07 19:12:35,0.00168 cores
2025-07-07 19:12:36,0.00168 cores
2025-07-07 19:12:37,0.00168 cores
2025-07-07 19:12:38,0.00168 cores
2025-07-07 19:12:39,0.00168 cores
2025-07-07 19:12:40,0.00169 cores
2025-07-07 19:12:41,0.00169 cores
2025-07-07 19:12:42,0.00169 cores
2025-07-07 19:12:43,0.00166 cores
2025-07-07 19:12:44,0.00166 cores
2025-07-07 19:12:45,0.00166 cores
2025-07-07 19:12:46,0.00166 cores
2025-07-07 19:12:47,0.00166 cores
2025-07-07 19:12:48,0.00166 cores
2025-07-07 19:12:49,0.00166 cores
2025-07-07 19:12:50,0.00166 cores
2025-07-07 19:12:51,0.00166 cores
2025-07-07 19:12:52,0.00166 cores
2025-07-07 19:12:53,0.00166 cores
2025-07-07 19:12:54,0.00135 cores
2025-07-07 19:12:55,0.00138 cores
2025-07-07 19:12:56,0.00163 cores
2025-07-07 19:12:57,0.00164 cores
2025-07-07 19:12:58,0.00164 cores
2025-07-07 19:12:59,0.00164 cores
2025-07-07 19:13:00,0.00164 cores
2025-07-07 19:13:01,0.00164 cores
2025-07-07 19:13:02,0.00164 cores
2025-07-07 19:13:03,0.00164 cores
2025-07-07 19:13:04,0.00164 cores
2025-07-07 19:13:05,0.00164 cores
2025-07-07 19:13:06,0.00164 cores
2025-07-07 19:13:07,0.00164 cores
2025-07-07 19:13:08,0.00164 cores
2025-07-07 19:13:09,0.00164 cores
2025-07-07 19:13:10,0.00164 cores
2025-07-07 19:13:11,0.00164 cores
2025-07-07 19:13:12,0.00163 cores
2025-07-07 19:13:13,0.00163 cores
2025-07-07 19:13:14,0.00163 cores
2025-07-07 19:13:15,0.00163 cores
2025-07-07 19:13:16,0.00163 cores
2025-07-07 19:13:17,0.00163 cores
2025-07-07 19:13:18,0.00163 cores
2025-07-07 19:13:19,0.00163 cores
2025-07-07 19:13:20,0.00163 cores
2025-07-07 19:13:21,0.00163 cores
2025-07-07 19:13:22,0.00163 cores
2025-07-07 19:13:23,0.00163 cores
2025-07-07 19:13:24,0.00163 cores
2025-07-07 19:13:25,0.00163 cores
2025-07-07 19:13:26,0.00138 cores
2025-07-07 19:13:27,0.00126 cores
2025-07-07 19:13:28,0.00126 cores
2025-07-07 19:13:29,0.00126 cores
2025-07-07 19:13:30,0.00126 cores
2025-07-07 19:13:31,0.00126 cores
2025-07-07 19:13:32,0.00126 cores
2025-07-07 19:13:33,0.00126 cores
2025-07-07 19:13:34,0.00126 cores
2025-07-07 19:13:35,0.00126 cores
2025-07-07 19:13:36,0.00126 cores
2025-07-07 19:13:37,0.00122 cores
2025-07-07 19:13:38,0.00122 cores
2025-07-07 19:13:39,0.00122 cores
2025-07-07 19:13:40,0.00122 cores
2025-07-07 19:13:41,0.00122 cores
2025-07-07 19:13:42,0.00122 cores
2025-07-07 19:13:43,0.00106 cores
2025-07-07 19:13:44,0.00106 cores
2025-07-07 19:13:45,0.00106 cores
2025-07-07 19:13:46,0.00106 cores
2025-07-07 19:13:47,0.00106 cores
2025-07-07 19:13:48,0.00106 cores
2025-07-07 19:13:49,0.00106 cores
2025-07-07 19:13:50,0.00106 cores
2025-07-07 19:13:51,0.00106 cores
2025-07-07 19:13:52,0.000951 cores
2025-07-07 19:13:53,0.000951 cores
2025-07-07 19:13:54,0.000951 cores
2025-07-07 19:13:55,0.000951 cores
2025-07-07 19:13:56,0.000951 cores
2025-07-07 19:13:57,0.000716 cores
2025-07-07 19:13:58,0.000716 cores
2025-07-07 19:13:59,0.000716 cores
2025-07-07 19:14:00,0.000716 cores
2025-07-07 19:14:01,0.000716 cores
2025-07-07 19:14:02,0.000716 cores
2025-07-07 19:14:03,0.000716 cores
