"Time","{instance=""worker3"", interface=""lxcc7a949fee869""}"
2025-07-07 19:12:24,4.86 kB/s
2025-07-07 19:12:25,4.86 kB/s
2025-07-07 19:12:26,4.86 kB/s
2025-07-07 19:12:27,4.86 kB/s
2025-07-07 19:12:28,4.13 kB/s
2025-07-07 19:12:29,4.05 kB/s
2025-07-07 19:12:30,3.97 kB/s
2025-07-07 19:12:31,3.89 kB/s
2025-07-07 19:12:32,3.81 kB/s
2025-07-07 19:12:33,5.04 kB/s
2025-07-07 19:12:34,5.04 kB/s
2025-07-07 19:12:35,5.04 kB/s
2025-07-07 19:12:36,5.04 kB/s
2025-07-07 19:12:37,5.04 kB/s
2025-07-07 19:12:38,5.04 kB/s
2025-07-07 19:12:39,5.04 kB/s
2025-07-07 19:12:40,5.04 kB/s
2025-07-07 19:12:41,5.04 kB/s
2025-07-07 19:12:42,5.04 kB/s
2025-07-07 19:12:43,4.21 kB/s
2025-07-07 19:12:44,4.30 kB/s
2025-07-07 19:12:45,4.39 kB/s
2025-07-07 19:12:46,4.48 kB/s
2025-07-07 19:12:47,4.57 kB/s
2025-07-07 19:12:48,5.33 kB/s
2025-07-07 19:12:49,5.33 kB/s
2025-07-07 19:12:50,5.33 kB/s
2025-07-07 19:12:51,5.33 kB/s
2025-07-07 19:12:52,5.33 kB/s
2025-07-07 19:12:53,5.33 kB/s
2025-07-07 19:12:54,5.33 kB/s
2025-07-07 19:12:55,5.33 kB/s
2025-07-07 19:12:56,5.33 kB/s
2025-07-07 19:12:57,5.33 kB/s
2025-07-07 19:12:58,4.54 kB/s
2025-07-07 19:12:59,4.45 kB/s
2025-07-07 19:13:00,4.36 kB/s
2025-07-07 19:13:01,4.27 kB/s
2025-07-07 19:13:02,4.19 kB/s
2025-07-07 19:13:03,5.51 kB/s
2025-07-07 19:13:04,5.51 kB/s
2025-07-07 19:13:05,5.51 kB/s
2025-07-07 19:13:06,5.51 kB/s
2025-07-07 19:13:07,5.51 kB/s
2025-07-07 19:13:08,5.51 kB/s
2025-07-07 19:13:09,5.51 kB/s
2025-07-07 19:13:10,5.51 kB/s
2025-07-07 19:13:11,5.51 kB/s
2025-07-07 19:13:12,5.51 kB/s
2025-07-07 19:13:13,3.88 kB/s
2025-07-07 19:13:14,3.96 kB/s
2025-07-07 19:13:15,4.04 kB/s
2025-07-07 19:13:16,4.12 kB/s
2025-07-07 19:13:17,4.21 kB/s
2025-07-07 19:13:18,4.92 kB/s
2025-07-07 19:13:19,4.92 kB/s
2025-07-07 19:13:20,4.92 kB/s
2025-07-07 19:13:21,4.92 kB/s
2025-07-07 19:13:22,4.92 kB/s
2025-07-07 19:13:23,4.92 kB/s
2025-07-07 19:13:24,4.92 kB/s
2025-07-07 19:13:25,4.92 kB/s
2025-07-07 19:13:26,4.92 kB/s
2025-07-07 19:13:27,4.92 kB/s
2025-07-07 19:13:28,4.20 kB/s
2025-07-07 19:13:29,4.11 kB/s
2025-07-07 19:13:30,4.03 kB/s
2025-07-07 19:13:31,3.95 kB/s
2025-07-07 19:13:32,3.87 kB/s
2025-07-07 19:13:33,2.96 kB/s
2025-07-07 19:13:34,2.96 kB/s
2025-07-07 19:13:35,2.96 kB/s
2025-07-07 19:13:36,2.96 kB/s
2025-07-07 19:13:37,2.96 kB/s
2025-07-07 19:13:38,2.96 kB/s
2025-07-07 19:13:39,2.96 kB/s
2025-07-07 19:13:40,2.96 kB/s
2025-07-07 19:13:41,2.96 kB/s
2025-07-07 19:13:42,2.96 kB/s
2025-07-07 19:13:43,866 B/s
2025-07-07 19:13:44,885 B/s
2025-07-07 19:13:45,903 B/s
2025-07-07 19:13:46,921 B/s
2025-07-07 19:13:47,940 B/s
2025-07-07 19:13:48,1.10 kB/s
2025-07-07 19:13:49,1.10 kB/s
2025-07-07 19:13:50,1.10 kB/s
2025-07-07 19:13:51,1.10 kB/s
2025-07-07 19:13:52,1.10 kB/s
