"Time","image-preprocess-7c7c848d7-qk65t"
2025-07-07 19:50:05,0.0622 cores
2025-07-07 19:50:06,0.0622 cores
2025-07-07 19:50:07,0.0671 cores
2025-07-07 19:50:08,0.0688 cores
2025-07-07 19:50:09,0.0705 cores
2025-07-07 19:50:10,0.0721 cores
2025-07-07 19:50:11,0.0738 cores
2025-07-07 19:50:12,0.0754 cores
2025-07-07 19:50:13,0.0771 cores
2025-07-07 19:50:14,0.0788 cores
2025-07-07 19:50:15,0.0804 cores
2025-07-07 19:50:16,0.0821 cores
2025-07-07 19:50:17,0.0838 cores
2025-07-07 19:50:18,0.0891 cores
2025-07-07 19:50:19,0.0907 cores
2025-07-07 19:50:20,0.0766 cores
2025-07-07 19:50:21,0.0766 cores
2025-07-07 19:50:22,0.0958 cores
2025-07-07 19:50:23,0.0975 cores
2025-07-07 19:50:24,0.0991 cores
2025-07-07 19:50:25,0.1000 cores
2025-07-07 19:50:26,0.1000 cores
2025-07-07 19:50:27,0.1000 cores
2025-07-07 19:50:28,0.1000 cores
2025-07-07 19:50:29,0.1000 cores
2025-07-07 19:50:30,0.1000 cores
2025-07-07 19:50:31,0.1000 cores
2025-07-07 19:50:32,0.1000 cores
2025-07-07 19:50:33,0.1000 cores
2025-07-07 19:50:34,0.100 cores
2025-07-07 19:50:35,0.100 cores
2025-07-07 19:50:36,0.100 cores
2025-07-07 19:50:37,0.100 cores
2025-07-07 19:50:38,0.100 cores
2025-07-07 19:50:39,0.100 cores
2025-07-07 19:50:40,0.0834 cores
2025-07-07 19:50:41,0.100 cores
2025-07-07 19:50:42,0.100 cores
2025-07-07 19:50:43,0.100 cores
2025-07-07 19:50:44,0.100 cores
2025-07-07 19:50:45,0.100 cores
2025-07-07 19:50:46,0.100 cores
2025-07-07 19:50:47,0.100 cores
2025-07-07 19:50:48,0.100 cores
2025-07-07 19:50:49,0.100 cores
2025-07-07 19:50:50,0.100 cores
2025-07-07 19:50:51,0.100 cores
2025-07-07 19:50:52,0.100 cores
2025-07-07 19:50:53,0.100 cores
2025-07-07 19:50:54,0.100 cores
2025-07-07 19:50:55,0.100 cores
2025-07-07 19:50:56,0.100 cores
2025-07-07 19:50:57,0.0875 cores
2025-07-07 19:50:58,0.0875 cores
2025-07-07 19:50:59,0.0875 cores
2025-07-07 19:51:00,0.0875 cores
2025-07-07 19:51:01,0.0875 cores
2025-07-07 19:51:02,0.0875 cores
2025-07-07 19:51:03,0.0875 cores
2025-07-07 19:51:04,0.0806 cores
2025-07-07 19:51:05,0.0806 cores
2025-07-07 19:51:06,0.0806 cores
2025-07-07 19:51:07,0.0806 cores
2025-07-07 19:51:08,0.0806 cores
2025-07-07 19:51:09,0.0806 cores
2025-07-07 19:51:10,0.0806 cores
2025-07-07 19:51:11,0.0806 cores
2025-07-07 19:51:12,0.0806 cores
2025-07-07 19:51:13,0.0806 cores
2025-07-07 19:51:14,0.0806 cores
2025-07-07 19:51:15,0.0806 cores
2025-07-07 19:51:16,0.0658 cores
2025-07-07 19:51:17,0.0513 cores
2025-07-07 19:51:18,0.0513 cores
2025-07-07 19:51:19,0.0513 cores
2025-07-07 19:51:20,0.0513 cores
2025-07-07 19:51:21,0.0513 cores
2025-07-07 19:51:22,0.0254 cores
2025-07-07 19:51:23,0.0254 cores
2025-07-07 19:51:24,0.0254 cores
2025-07-07 19:51:25,0.0254 cores
2025-07-07 19:51:26,0.0254 cores
2025-07-07 19:51:27,0.0254 cores
2025-07-07 19:51:28,0.0254 cores
2025-07-07 19:51:29,0.0254 cores
2025-07-07 19:51:30,0.0254 cores
2025-07-07 19:51:31,0.0254 cores
2025-07-07 19:51:32,0.0254 cores
2025-07-07 19:51:33,0.0254 cores
2025-07-07 19:51:34,0.0173 cores
2025-07-07 19:51:35,0.0173 cores
2025-07-07 19:51:36,0.0173 cores
2025-07-07 19:51:37,0.0173 cores
2025-07-07 19:51:38,0.0173 cores
2025-07-07 19:51:39,0.0173 cores
2025-07-07 19:51:40,0.0173 cores
2025-07-07 19:51:41,0.000621 cores
2025-07-07 19:51:42,0.000621 cores
2025-07-07 19:51:43,0.000621 cores
2025-07-07 19:51:44,0.000621 cores
2025-07-07 19:51:45,0.000621 cores
2025-07-07 19:51:46,0.000621 cores
2025-07-07 19:51:47,0.000621 cores
2025-07-07 19:51:48,0.000621 cores
2025-07-07 19:51:49,0.000643 cores
2025-07-07 19:51:50,0.000643 cores
2025-07-07 19:51:51,0.000643 cores
2025-07-07 19:51:52,0.000643 cores
2025-07-07 19:51:53,0.000643 cores
2025-07-07 19:51:54,0.000643 cores
2025-07-07 19:51:55,0.000643 cores
2025-07-07 19:51:56,0.000643 cores
2025-07-07 19:51:57,0.000517 cores
2025-07-07 19:51:58,0.000528 cores
2025-07-07 19:51:59,0.000638 cores
2025-07-07 19:52:00,0.000638 cores
2025-07-07 19:52:01,0.000638 cores
2025-07-07 19:52:02,0.000638 cores
2025-07-07 19:52:03,0.000638 cores
2025-07-07 19:52:04,0.000638 cores
2025-07-07 19:52:05,0.000638 cores
2025-07-07 19:52:06,0.000531 cores
2025-07-07 19:52:07,0.000751 cores
2025-07-07 19:52:08,0.000751 cores
2025-07-07 19:52:09,0.000751 cores
2025-07-07 19:52:10,0.000751 cores
2025-07-07 19:52:11,0.000751 cores
2025-07-07 19:52:12,0.000751 cores
2025-07-07 19:52:13,0.000751 cores
2025-07-07 19:52:14,0.000751 cores
2025-07-07 19:52:15,0.000751 cores
