"Time","{instance=""worker3"", interface=""lxc1b3db75e6ca7""}"
2025-07-07 19:51:33,519 kB/s
2025-07-07 19:51:34,508 kB/s
2025-07-07 19:51:35,171 kB/s
2025-07-07 19:51:36,171 kB/s
2025-07-07 19:51:37,171 kB/s
2025-07-07 19:51:38,171 kB/s
2025-07-07 19:51:39,171 kB/s
2025-07-07 19:51:40,171 kB/s
2025-07-07 19:51:41,171 kB/s
2025-07-07 19:51:42,171 kB/s
2025-07-07 19:51:43,171 kB/s
2025-07-07 19:51:44,171 kB/s
2025-07-07 19:51:45,367 B/s
2025-07-07 19:51:46,371 B/s
2025-07-07 19:51:47,378 B/s
2025-07-07 19:51:48,386 B/s
2025-07-07 19:51:49,394 B/s
2025-07-07 19:51:50,463 B/s
2025-07-07 19:51:51,463 B/s
2025-07-07 19:51:52,463 B/s
2025-07-07 19:51:53,463 B/s
2025-07-07 19:51:54,463 B/s
2025-07-07 19:51:55,463 B/s
2025-07-07 19:51:56,463 B/s
2025-07-07 19:51:57,463 B/s
2025-07-07 19:51:58,463 B/s
2025-07-07 19:51:59,463 B/s
2025-07-07 19:52:00,399 B/s
2025-07-07 19:52:01,391 B/s
2025-07-07 19:52:02,384 B/s
2025-07-07 19:52:03,376 B/s
2025-07-07 19:52:04,368 B/s
2025-07-07 19:52:05,366 B/s
2025-07-07 19:52:06,462 B/s
2025-07-07 19:52:07,462 B/s
2025-07-07 19:52:08,462 B/s
2025-07-07 19:52:09,462 B/s
2025-07-07 19:52:10,462 B/s
2025-07-07 19:52:11,462 B/s
2025-07-07 19:52:12,462 B/s
2025-07-07 19:52:13,462 B/s
2025-07-07 19:52:14,462 B/s
2025-07-07 19:52:15,369 B/s
