"Time","image-stats-746c9bfb67-bvjsp"
2025-07-07 19:51:31,0.00140 cores
2025-07-07 19:51:32,0.00140 cores
2025-07-07 19:51:33,0.000985 cores
2025-07-07 19:51:34,0.000985 cores
2025-07-07 19:51:35,0.000985 cores
2025-07-07 19:51:36,0.000985 cores
2025-07-07 19:51:37,0.000985 cores
2025-07-07 19:51:38,0.000985 cores
2025-07-07 19:51:39,0.000985 cores
2025-07-07 19:51:40,0.000985 cores
2025-07-07 19:51:41,0.000985 cores
2025-07-07 19:51:42,0.000985 cores
2025-07-07 19:51:43,0.000924 cores
2025-07-07 19:51:44,0.000924 cores
2025-07-07 19:51:45,0.000534 cores
2025-07-07 19:51:46,0.000545 cores
2025-07-07 19:51:47,0.000556 cores
2025-07-07 19:51:48,0.000567 cores
2025-07-07 19:51:49,0.000663 cores
2025-07-07 19:51:50,0.000663 cores
2025-07-07 19:51:51,0.000663 cores
2025-07-07 19:51:52,0.000663 cores
2025-07-07 19:51:53,0.000663 cores
2025-07-07 19:51:54,0.000663 cores
2025-07-07 19:51:55,0.000663 cores
2025-07-07 19:51:56,0.000663 cores
2025-07-07 19:51:57,0.000569 cores
2025-07-07 19:51:58,0.000558 cores
2025-07-07 19:51:59,0.000547 cores
2025-07-07 19:52:00,0.000738 cores
2025-07-07 19:52:01,0.000738 cores
2025-07-07 19:52:02,0.000738 cores
2025-07-07 19:52:03,0.000738 cores
2025-07-07 19:52:04,0.000767 cores
2025-07-07 19:52:05,0.000767 cores
2025-07-07 19:52:06,0.000767 cores
2025-07-07 19:52:07,0.000767 cores
2025-07-07 19:52:08,0.000767 cores
2025-07-07 19:52:09,0.000767 cores
2025-07-07 19:52:10,0.000767 cores
2025-07-07 19:52:11,0.000767 cores
2025-07-07 19:52:12,0.000767 cores
2025-07-07 19:52:13,0.000767 cores
2025-07-07 19:52:14,0.000780 cores
2025-07-07 19:52:15,0.000780 cores
