"Time","image-filter-cfbfd9b5f-jrq4f"
2025-07-07 19:49:52,0.00164 cores
2025-07-07 19:49:53,0.00164 cores
2025-07-07 19:49:54,0.00193 cores
2025-07-07 19:49:55,0.00193 cores
2025-07-07 19:49:56,0.00193 cores
2025-07-07 19:49:57,0.00193 cores
2025-07-07 19:49:58,0.00193 cores
2025-07-07 19:49:59,0.00193 cores
2025-07-07 19:50:00,0.00193 cores
2025-07-07 19:50:01,0.00193 cores
2025-07-07 19:50:02,0.00231 cores
2025-07-07 19:50:03,0.00231 cores
2025-07-07 19:50:04,0.00231 cores
2025-07-07 19:50:05,0.00231 cores
2025-07-07 19:50:06,0.00231 cores
2025-07-07 19:50:07,0.00231 cores
2025-07-07 19:50:08,0.00245 cores
2025-07-07 19:50:09,0.00245 cores
2025-07-07 19:50:10,0.00245 cores
2025-07-07 19:50:11,0.00245 cores
2025-07-07 19:50:12,0.00245 cores
2025-07-07 19:50:13,0.00245 cores
2025-07-07 19:50:14,0.00297 cores
2025-07-07 19:50:15,0.00297 cores
2025-07-07 19:50:16,0.00297 cores
2025-07-07 19:50:17,0.00297 cores
2025-07-07 19:50:18,0.00297 cores
2025-07-07 19:50:19,0.00297 cores
2025-07-07 19:50:20,0.00297 cores
2025-07-07 19:50:21,0.00297 cores
2025-07-07 19:50:22,0.00297 cores
2025-07-07 19:50:23,0.00256 cores
2025-07-07 19:50:24,0.00251 cores
2025-07-07 19:50:25,0.00304 cores
2025-07-07 19:50:26,0.00304 cores
2025-07-07 19:50:27,0.00301 cores
2025-07-07 19:50:28,0.00301 cores
2025-07-07 19:50:29,0.00301 cores
2025-07-07 19:50:30,0.00301 cores
2025-07-07 19:50:31,0.00301 cores
2025-07-07 19:50:32,0.00301 cores
2025-07-07 19:50:33,0.00301 cores
2025-07-07 19:50:34,0.00301 cores
2025-07-07 19:50:35,0.00301 cores
2025-07-07 19:50:36,0.00301 cores
2025-07-07 19:50:37,0.00301 cores
2025-07-07 19:50:38,0.00301 cores
2025-07-07 19:50:39,0.00301 cores
2025-07-07 19:50:40,0.00301 cores
2025-07-07 19:50:41,0.00253 cores
2025-07-07 19:50:42,0.00254 cores
2025-07-07 19:50:43,0.00314 cores
2025-07-07 19:50:44,0.00314 cores
2025-07-07 19:50:45,0.00314 cores
2025-07-07 19:50:46,0.00314 cores
2025-07-07 19:50:47,0.00314 cores
2025-07-07 19:50:48,0.00314 cores
2025-07-07 19:50:49,0.00314 cores
2025-07-07 19:50:50,0.00314 cores
2025-07-07 19:50:51,0.00314 cores
2025-07-07 19:50:52,0.00314 cores
2025-07-07 19:50:53,0.00314 cores
2025-07-07 19:50:54,0.00325 cores
2025-07-07 19:50:55,0.00299 cores
2025-07-07 19:50:56,0.00299 cores
2025-07-07 19:50:57,0.00299 cores
2025-07-07 19:50:58,0.00299 cores
2025-07-07 19:50:59,0.00299 cores
2025-07-07 19:51:00,0.00299 cores
2025-07-07 19:51:01,0.00299 cores
2025-07-07 19:51:02,0.00299 cores
2025-07-07 19:51:03,0.00299 cores
2025-07-07 19:51:04,0.00299 cores
2025-07-07 19:51:05,0.00299 cores
2025-07-07 19:51:06,0.00299 cores
2025-07-07 19:51:07,0.00299 cores
2025-07-07 19:51:08,0.00288 cores
2025-07-07 19:51:09,0.00288 cores
2025-07-07 19:51:10,0.00215 cores
2025-07-07 19:51:11,0.00215 cores
2025-07-07 19:51:12,0.00215 cores
2025-07-07 19:51:13,0.00215 cores
2025-07-07 19:51:14,0.00215 cores
2025-07-07 19:51:15,0.00215 cores
2025-07-07 19:51:16,0.00215 cores
2025-07-07 19:51:17,0.00215 cores
2025-07-07 19:51:18,0.00215 cores
2025-07-07 19:51:19,0.00215 cores
2025-07-07 19:51:20,0.00215 cores
2025-07-07 19:51:21,0.00215 cores
2025-07-07 19:51:22,0.00215 cores
2025-07-07 19:51:23,0.00182 cores
2025-07-07 19:51:24,0.00182 cores
2025-07-07 19:51:25,0.000941 cores
2025-07-07 19:51:26,0.000960 cores
2025-07-07 19:51:27,0.000980 cores
2025-07-07 19:51:28,0.00115 cores
2025-07-07 19:51:29,0.00115 cores
2025-07-07 19:51:30,0.00115 cores
2025-07-07 19:51:31,0.00115 cores
2025-07-07 19:51:32,0.00115 cores
2025-07-07 19:51:33,0.00115 cores
2025-07-07 19:51:34,0.00115 cores
2025-07-07 19:51:35,0.00115 cores
2025-07-07 19:51:36,0.00115 cores
2025-07-07 19:51:37,0.00115 cores
2025-07-07 19:51:38,0.000981 cores
2025-07-07 19:51:39,0.000962 cores
2025-07-07 19:51:40,0.000943 cores
2025-07-07 19:51:41,0.00103 cores
2025-07-07 19:51:42,0.00103 cores
2025-07-07 19:51:43,0.000716 cores
2025-07-07 19:51:44,0.000716 cores
2025-07-07 19:51:45,0.000716 cores
2025-07-07 19:51:46,0.000716 cores
2025-07-07 19:51:47,0.000716 cores
2025-07-07 19:51:48,0.000716 cores
2025-07-07 19:51:49,0.000716 cores
2025-07-07 19:51:50,0.000716 cores
2025-07-07 19:51:51,0.000716 cores
2025-07-07 19:51:52,0.000739 cores
2025-07-07 19:51:53,0.000739 cores
2025-07-07 19:51:54,0.000739 cores
2025-07-07 19:51:55,0.000767 cores
2025-07-07 19:51:56,0.000767 cores
2025-07-07 19:51:57,0.000767 cores
2025-07-07 19:51:58,0.000767 cores
2025-07-07 19:51:59,0.000767 cores
2025-07-07 19:52:00,0.000767 cores
2025-07-07 19:52:01,0.000767 cores
2025-07-07 19:52:02,0.000767 cores
2025-07-07 19:52:03,0.000767 cores
2025-07-07 19:52:04,0.000767 cores
2025-07-07 19:52:05,0.000767 cores
2025-07-07 19:52:06,0.000767 cores
2025-07-07 19:52:07,0.000652 cores
2025-07-07 19:52:08,0.000639 cores
2025-07-07 19:52:09,0.000626 cores
2025-07-07 19:52:10,0.000642 cores
2025-07-07 19:52:11,0.000856 cores
2025-07-07 19:52:12,0.000856 cores
2025-07-07 19:52:13,0.000856 cores
2025-07-07 19:52:14,0.000856 cores
2025-07-07 19:52:15,0.000856 cores
