"Time","{instance=""worker3"", interface=""lxc1b3db75e6ca7""}"
2025-07-07 19:51:28,2.58 kB/s
2025-07-07 19:51:29,2.58 kB/s
2025-07-07 19:51:30,2.21 kB/s
2025-07-07 19:51:31,2.17 kB/s
2025-07-07 19:51:32,2.12 kB/s
2025-07-07 19:51:33,2.08 kB/s
2025-07-07 19:51:34,2.04 kB/s
2025-07-07 19:51:35,1.07 kB/s
2025-07-07 19:51:36,1.07 kB/s
2025-07-07 19:51:37,1.07 kB/s
2025-07-07 19:51:38,1.07 kB/s
2025-07-07 19:51:39,1.07 kB/s
2025-07-07 19:51:40,1.07 kB/s
2025-07-07 19:51:41,1.07 kB/s
2025-07-07 19:51:42,1.07 kB/s
2025-07-07 19:51:43,1.07 kB/s
2025-07-07 19:51:44,1.07 kB/s
2025-07-07 19:51:45,377 B/s
2025-07-07 19:51:46,377 B/s
2025-07-07 19:51:47,385 B/s
2025-07-07 19:51:48,393 B/s
2025-07-07 19:51:49,401 B/s
2025-07-07 19:51:50,471 B/s
2025-07-07 19:51:51,471 B/s
2025-07-07 19:51:52,471 B/s
2025-07-07 19:51:53,471 B/s
2025-07-07 19:51:54,471 B/s
2025-07-07 19:51:55,471 B/s
2025-07-07 19:51:56,471 B/s
2025-07-07 19:51:57,471 B/s
2025-07-07 19:51:58,471 B/s
2025-07-07 19:51:59,471 B/s
2025-07-07 19:52:00,406 B/s
2025-07-07 19:52:01,398 B/s
2025-07-07 19:52:02,390 B/s
2025-07-07 19:52:03,383 B/s
2025-07-07 19:52:04,375 B/s
2025-07-07 19:52:05,371 B/s
2025-07-07 19:52:06,470 B/s
2025-07-07 19:52:07,470 B/s
2025-07-07 19:52:08,470 B/s
2025-07-07 19:52:09,470 B/s
2025-07-07 19:52:10,470 B/s
2025-07-07 19:52:11,470 B/s
2025-07-07 19:52:12,470 B/s
2025-07-07 19:52:13,470 B/s
2025-07-07 19:52:14,470 B/s
2025-07-07 19:52:15,373 B/s
