"Time","{instance=""worker3"", interface=""lxc75bda36f2996""}"
2025-07-07 16:21:42,343 kB/s
2025-07-07 16:21:43,280 kB/s
2025-07-07 16:21:44,286 kB/s
2025-07-07 16:21:45,292 kB/s
2025-07-07 16:21:46,298 kB/s
2025-07-07 16:21:47,303 kB/s
2025-07-07 16:21:48,309 kB/s
2025-07-07 16:21:49,358 kB/s
2025-07-07 16:21:50,358 kB/s
2025-07-07 16:21:51,358 kB/s
2025-07-07 16:21:52,358 kB/s
2025-07-07 16:21:53,358 kB/s
2025-07-07 16:21:54,358 kB/s
2025-07-07 16:21:55,358 kB/s
2025-07-07 16:21:56,358 kB/s
2025-07-07 16:21:57,358 kB/s
2025-07-07 16:21:58,307 kB/s
2025-07-07 16:21:59,301 kB/s
2025-07-07 16:22:00,295 kB/s
2025-07-07 16:22:01,289 kB/s
2025-07-07 16:22:02,283 kB/s
2025-07-07 16:22:03,343 kB/s
2025-07-07 16:22:04,343 kB/s
2025-07-07 16:22:05,343 kB/s
2025-07-07 16:22:06,343 kB/s
2025-07-07 16:22:07,343 kB/s
2025-07-07 16:22:08,343 kB/s
2025-07-07 16:22:09,343 kB/s
2025-07-07 16:22:10,343 kB/s
2025-07-07 16:22:11,343 kB/s
2025-07-07 16:22:12,343 kB/s
2025-07-07 16:22:13,279 kB/s
2025-07-07 16:22:14,285 kB/s
2025-07-07 16:22:15,291 kB/s
2025-07-07 16:22:16,297 kB/s
2025-07-07 16:22:17,303 kB/s
2025-07-07 16:22:18,309 kB/s
2025-07-07 16:22:19,357 kB/s
2025-07-07 16:22:20,357 kB/s
2025-07-07 16:22:21,357 kB/s
2025-07-07 16:22:22,357 kB/s
2025-07-07 16:22:23,357 kB/s
2025-07-07 16:22:24,357 kB/s
2025-07-07 16:22:25,357 kB/s
2025-07-07 16:22:26,357 kB/s
2025-07-07 16:22:27,357 kB/s
2025-07-07 16:22:28,308 kB/s
2025-07-07 16:22:29,302 kB/s
2025-07-07 16:22:30,296 kB/s
2025-07-07 16:22:31,290 kB/s
2025-07-07 16:22:32,284 kB/s
2025-07-07 16:22:33,302 kB/s
2025-07-07 16:22:34,343 kB/s
2025-07-07 16:22:35,343 kB/s
2025-07-07 16:22:36,343 kB/s
2025-07-07 16:22:37,343 kB/s
2025-07-07 16:22:38,343 kB/s
2025-07-07 16:22:39,343 kB/s
2025-07-07 16:22:40,343 kB/s
2025-07-07 16:22:41,343 kB/s
2025-07-07 16:22:42,343 kB/s
2025-07-07 16:22:43,227 kB/s
2025-07-07 16:22:44,227 kB/s
2025-07-07 16:22:45,232 kB/s
2025-07-07 16:22:46,237 kB/s
2025-07-07 16:22:47,242 kB/s
2025-07-07 16:22:48,247 kB/s
2025-07-07 16:22:49,286 kB/s
2025-07-07 16:22:50,286 kB/s
2025-07-07 16:22:51,286 kB/s
2025-07-07 16:22:52,286 kB/s
2025-07-07 16:22:53,286 kB/s
2025-07-07 16:22:54,286 kB/s
2025-07-07 16:22:55,286 kB/s
2025-07-07 16:22:56,286 kB/s
2025-07-07 16:22:57,286 kB/s
2025-07-07 16:22:58,247 kB/s
2025-07-07 16:22:59,242 kB/s
2025-07-07 16:23:00,237 kB/s
2025-07-07 16:23:01,232 kB/s
2025-07-07 16:23:02,227 kB/s
2025-07-07 16:23:03,227 kB/s
2025-07-07 16:23:04,343 kB/s
2025-07-07 16:23:05,343 kB/s
2025-07-07 16:23:06,343 kB/s
2025-07-07 16:23:07,343 kB/s
2025-07-07 16:23:08,343 kB/s
2025-07-07 16:23:09,343 kB/s
2025-07-07 16:23:10,343 kB/s
2025-07-07 16:23:11,343 kB/s
2025-07-07 16:23:12,343 kB/s
2025-07-07 16:23:13,302 kB/s
2025-07-07 16:23:14,284 kB/s
2025-07-07 16:23:15,290 kB/s
2025-07-07 16:23:16,296 kB/s
2025-07-07 16:23:17,302 kB/s
2025-07-07 16:23:18,308 kB/s
2025-07-07 16:23:19,357 kB/s
2025-07-07 16:23:20,357 kB/s
2025-07-07 16:23:21,357 kB/s
2025-07-07 16:23:22,357 kB/s
2025-07-07 16:23:23,357 kB/s
2025-07-07 16:23:24,357 kB/s
2025-07-07 16:23:25,357 kB/s
2025-07-07 16:23:26,357 kB/s
2025-07-07 16:23:27,357 kB/s
2025-07-07 16:23:28,309 kB/s
2025-07-07 16:23:29,303 kB/s
2025-07-07 16:23:30,297 kB/s
2025-07-07 16:23:31,291 kB/s
2025-07-07 16:23:32,285 kB/s
2025-07-07 16:23:33,279 kB/s
2025-07-07 16:23:34,343 kB/s
2025-07-07 16:23:35,343 kB/s
2025-07-07 16:23:36,343 kB/s
2025-07-07 16:23:37,343 kB/s
