"Time","image-stats-746c9bfb67-8h4gh"
2025-07-07 16:21:15,0.00102 cores
2025-07-07 16:21:16,0.00102 cores
2025-07-07 16:21:17,0.00102 cores
2025-07-07 16:21:18,0.00102 cores
2025-07-07 16:21:19,0.00102 cores
2025-07-07 16:21:20,0.00102 cores
2025-07-07 16:21:21,0.00102 cores
2025-07-07 16:21:22,0.00102 cores
2025-07-07 16:21:23,0.00102 cores
2025-07-07 16:21:24,0.00102 cores
2025-07-07 16:21:25,0.00102 cores
2025-07-07 16:21:26,0.00102 cores
2025-07-07 16:21:27,0.00102 cores
2025-07-07 16:21:28,0.00102 cores
2025-07-07 16:21:29,0.00106 cores
2025-07-07 16:21:30,0.000894 cores
2025-07-07 16:21:31,0.000876 cores
2025-07-07 16:21:32,0.000859 cores
2025-07-07 16:21:33,0.00100 cores
2025-07-07 16:21:34,0.00100 cores
2025-07-07 16:21:35,0.00100 cores
2025-07-07 16:21:36,0.00100 cores
2025-07-07 16:21:37,0.00100 cores
2025-07-07 16:21:38,0.00100 cores
2025-07-07 16:21:39,0.00100 cores
2025-07-07 16:21:40,0.00100 cores
2025-07-07 16:21:41,0.00100 cores
2025-07-07 16:21:42,0.00100 cores
2025-07-07 16:21:43,0.00100 cores
2025-07-07 16:21:44,0.000980 cores
2025-07-07 16:21:45,0.000980 cores
2025-07-07 16:21:46,0.000980 cores
2025-07-07 16:21:47,0.000980 cores
2025-07-07 16:21:48,0.000980 cores
2025-07-07 16:21:49,0.000980 cores
2025-07-07 16:21:50,0.000980 cores
2025-07-07 16:21:51,0.000818 cores
2025-07-07 16:21:52,0.000802 cores
2025-07-07 16:21:53,0.000785 cores
2025-07-07 16:21:54,0.000769 cores
2025-07-07 16:21:55,0.000753 cores
2025-07-07 16:21:56,0.000736 cores
2025-07-07 16:21:57,0.000720 cores
2025-07-07 16:21:58,0.000704 cores
2025-07-07 16:21:59,0.000687 cores
2025-07-07 16:22:00,0.000671 cores
2025-07-07 16:22:01,0.000635 cores
2025-07-07 16:22:02,0.000620 cores
2025-07-07 16:22:03,0.000604 cores
2025-07-07 16:22:04,0.00104 cores
2025-07-07 16:22:05,0.00104 cores
2025-07-07 16:22:06,0.00104 cores
2025-07-07 16:22:07,0.00104 cores
2025-07-07 16:22:08,0.00104 cores
2025-07-07 16:22:09,0.00104 cores
