"Time","image-preprocess-6b97b856cf-8wm7g"
2025-07-07 16:19:53,0.000595 cores
2025-07-07 16:19:54,0.000595 cores
2025-07-07 16:19:55,0.000595 cores
2025-07-07 16:19:56,0.000595 cores
2025-07-07 16:19:57,0.000595 cores
2025-07-07 16:19:58,0.000595 cores
2025-07-07 16:19:59,0.000595 cores
2025-07-07 16:20:00,0.00282 cores
2025-07-07 16:20:01,0.00282 cores
2025-07-07 16:20:02,0.00282 cores
2025-07-07 16:20:03,0.00282 cores
2025-07-07 16:20:04,0.00282 cores
2025-07-07 16:20:05,0.00282 cores
2025-07-07 16:20:06,0.00282 cores
2025-07-07 16:20:07,0.00282 cores
2025-07-07 16:20:08,0.00282 cores
2025-07-07 16:20:09,0.00282 cores
2025-07-07 16:20:10,0.00587 cores
2025-07-07 16:20:11,0.00669 cores
2025-07-07 16:20:12,0.00682 cores
2025-07-07 16:20:13,0.00696 cores
2025-07-07 16:20:14,0.00816 cores
2025-07-07 16:20:15,0.00816 cores
2025-07-07 16:20:16,0.00816 cores
2025-07-07 16:20:17,0.00816 cores
2025-07-07 16:20:18,0.00816 cores
2025-07-07 16:20:19,0.00816 cores
2025-07-07 16:20:20,0.00816 cores
2025-07-07 16:20:21,0.00816 cores
2025-07-07 16:20:22,0.00816 cores
2025-07-07 16:20:23,0.00816 cores
2025-07-07 16:20:24,0.00816 cores
2025-07-07 16:20:25,0.00816 cores
2025-07-07 16:20:26,0.00691 cores
2025-07-07 16:20:27,0.00677 cores
2025-07-07 16:20:28,0.00664 cores
2025-07-07 16:20:29,0.00814 cores
2025-07-07 16:20:30,0.00814 cores
2025-07-07 16:20:31,0.00814 cores
2025-07-07 16:20:32,0.00814 cores
2025-07-07 16:20:33,0.00814 cores
2025-07-07 16:20:34,0.00967 cores
2025-07-07 16:20:35,0.00944 cores
2025-07-07 16:20:36,0.00921 cores
2025-07-07 16:20:37,0.00898 cores
2025-07-07 16:20:38,0.00875 cores
2025-07-07 16:20:39,0.0171 cores
2025-07-07 16:20:40,0.0171 cores
2025-07-07 16:20:41,0.0171 cores
2025-07-07 16:20:42,0.0171 cores
2025-07-07 16:20:43,0.0171 cores
2025-07-07 16:20:44,0.0171 cores
2025-07-07 16:20:45,0.0171 cores
2025-07-07 16:20:46,0.0171 cores
2025-07-07 16:20:47,0.0198 cores
2025-07-07 16:20:48,0.0198 cores
2025-07-07 16:20:49,0.0198 cores
2025-07-07 16:20:50,0.0198 cores
2025-07-07 16:20:51,0.0199 cores
2025-07-07 16:20:52,0.0199 cores
2025-07-07 16:20:53,0.0199 cores
2025-07-07 16:20:54,0.0199 cores
2025-07-07 16:20:55,0.0199 cores
2025-07-07 16:20:56,0.0199 cores
2025-07-07 16:20:57,0.0199 cores
2025-07-07 16:20:58,0.0199 cores
2025-07-07 16:20:59,0.0199 cores
2025-07-07 16:21:00,0.0198 cores
2025-07-07 16:21:01,0.0198 cores
2025-07-07 16:21:02,0.0198 cores
2025-07-07 16:21:03,0.0198 cores
2025-07-07 16:21:04,0.0198 cores
2025-07-07 16:21:05,0.0198 cores
2025-07-07 16:21:06,0.0198 cores
2025-07-07 16:21:07,0.0198 cores
2025-07-07 16:21:08,0.0198 cores
2025-07-07 16:21:09,0.0198 cores
2025-07-07 16:21:10,0.0122 cores
2025-07-07 16:21:11,0.0125 cores
2025-07-07 16:21:12,0.0128 cores
2025-07-07 16:21:13,0.0131 cores
2025-07-07 16:21:14,0.0135 cores
2025-07-07 16:21:15,0.0138 cores
2025-07-07 16:21:16,0.0141 cores
2025-07-07 16:21:17,0.0145 cores
2025-07-07 16:21:18,0.0148 cores
2025-07-07 16:21:19,0.0151 cores
2025-07-07 16:21:20,0.0155 cores
2025-07-07 16:21:21,0.0158 cores
2025-07-07 16:21:22,0.0161 cores
2025-07-07 16:21:23,0.0165 cores
2025-07-07 16:21:24,0.0144 cores
2025-07-07 16:21:25,0.0144 cores
2025-07-07 16:21:26,0.0144 cores
2025-07-07 16:21:27,0.0165 cores
2025-07-07 16:21:28,0.0162 cores
2025-07-07 16:21:29,0.0158 cores
2025-07-07 16:21:30,0.0199 cores
2025-07-07 16:21:31,0.0199 cores
2025-07-07 16:21:32,0.0199 cores
2025-07-07 16:21:33,0.0199 cores
2025-07-07 16:21:34,0.0199 cores
2025-07-07 16:21:35,0.0199 cores
2025-07-07 16:21:36,0.0199 cores
2025-07-07 16:21:37,0.0199 cores
