"Time","image-stats-746c9bfb67-8h4gh"
2025-07-07 16:21:32,33.9 MiB
2025-07-07 16:21:33,34.0 MiB
2025-07-07 16:21:34,34.0 MiB
2025-07-07 16:21:35,34.0 MiB
2025-07-07 16:21:36,34.0 MiB
2025-07-07 16:21:37,34.0 MiB
2025-07-07 16:21:38,34.0 MiB
2025-07-07 16:21:39,34.0 MiB
2025-07-07 16:21:40,34.0 MiB
2025-07-07 16:21:41,34.0 MiB
2025-07-07 16:21:42,34.0 MiB
2025-07-07 16:21:43,34.0 MiB
2025-07-07 16:21:44,34.0 MiB
2025-07-07 16:21:45,34.0 MiB
2025-07-07 16:21:46,34.0 MiB
2025-07-07 16:21:47,34.0 MiB
2025-07-07 16:21:48,34.0 MiB
2025-07-07 16:21:49,34.0 MiB
2025-07-07 16:21:50,34.0 MiB
2025-07-07 16:21:51,34.0 MiB
2025-07-07 16:21:52,34.0 MiB
2025-07-07 16:21:53,34.0 MiB
2025-07-07 16:21:54,34.0 MiB
2025-07-07 16:21:55,34.0 MiB
2025-07-07 16:21:56,34.0 MiB
2025-07-07 16:21:57,34.0 MiB
2025-07-07 16:21:58,34.0 MiB
2025-07-07 16:21:59,34.0 MiB
2025-07-07 16:22:00,34.0 MiB
2025-07-07 16:22:01,34.0 MiB
2025-07-07 16:22:02,34.0 MiB
2025-07-07 16:22:03,34.0 MiB
2025-07-07 16:22:04,34.3 MiB
2025-07-07 16:22:05,34.3 MiB
2025-07-07 16:22:06,34.3 MiB
2025-07-07 16:22:07,34.3 MiB
2025-07-07 16:22:08,34.3 MiB
2025-07-07 16:22:09,34.3 MiB
2025-07-07 16:22:10,34.3 MiB
2025-07-07 16:22:11,34.3 MiB
2025-07-07 16:22:12,34.3 MiB
2025-07-07 16:22:13,34.3 MiB
2025-07-07 16:22:14,34.3 MiB
2025-07-07 16:22:15,34.4 MiB
2025-07-07 16:22:16,34.4 MiB
2025-07-07 16:22:17,34.4 MiB
2025-07-07 16:22:18,34.4 MiB
2025-07-07 16:22:19,34.4 MiB
2025-07-07 16:22:20,34.4 MiB
2025-07-07 16:22:21,34.4 MiB
2025-07-07 16:22:22,34.4 MiB
2025-07-07 16:22:23,34.4 MiB
2025-07-07 16:22:24,34.4 MiB
2025-07-07 16:22:25,34.4 MiB
2025-07-07 16:22:26,34.4 MiB
2025-07-07 16:22:27,34.4 MiB
2025-07-07 16:22:28,34.4 MiB
2025-07-07 16:22:29,34.4 MiB
2025-07-07 16:22:30,34.4 MiB
2025-07-07 16:22:31,34.4 MiB
2025-07-07 16:22:32,34.4 MiB
2025-07-07 16:22:33,34.5 MiB
2025-07-07 16:22:34,34.5 MiB
2025-07-07 16:22:35,34.5 MiB
2025-07-07 16:22:36,34.5 MiB
2025-07-07 16:22:37,34.5 MiB
2025-07-07 16:22:38,34.5 MiB
2025-07-07 16:22:39,34.5 MiB
2025-07-07 16:22:40,34.5 MiB
2025-07-07 16:22:41,34.5 MiB
2025-07-07 16:22:42,34.5 MiB
2025-07-07 16:22:43,34.5 MiB
2025-07-07 16:22:44,34.6 MiB
2025-07-07 16:22:45,34.6 MiB
2025-07-07 16:22:46,34.6 MiB
2025-07-07 16:22:47,34.6 MiB
2025-07-07 16:22:48,34.6 MiB
2025-07-07 16:22:49,34.6 MiB
2025-07-07 16:22:50,34.6 MiB
2025-07-07 16:22:51,34.6 MiB
2025-07-07 16:22:52,34.6 MiB
2025-07-07 16:22:53,34.6 MiB
2025-07-07 16:22:54,34.6 MiB
2025-07-07 16:22:55,34.6 MiB
2025-07-07 16:22:56,34.6 MiB
2025-07-07 16:22:57,34.6 MiB
2025-07-07 16:22:58,34.6 MiB
2025-07-07 16:22:59,34.6 MiB
2025-07-07 16:23:00,34.6 MiB
2025-07-07 16:23:01,34.6 MiB
2025-07-07 16:23:02,34.7 MiB
2025-07-07 16:23:03,34.7 MiB
2025-07-07 16:23:04,34.7 MiB
2025-07-07 16:23:05,34.7 MiB
2025-07-07 16:23:06,34.7 MiB
2025-07-07 16:23:07,34.7 MiB
2025-07-07 16:23:08,34.7 MiB
2025-07-07 16:23:09,34.7 MiB
2025-07-07 16:23:10,34.7 MiB
2025-07-07 16:23:11,34.7 MiB
2025-07-07 16:23:12,34.7 MiB
2025-07-07 16:23:13,34.7 MiB
2025-07-07 16:23:14,34.7 MiB
2025-07-07 16:23:15,34.7 MiB
2025-07-07 16:23:16,34.7 MiB
2025-07-07 16:23:17,34.7 MiB
2025-07-07 16:23:18,34.7 MiB
2025-07-07 16:23:19,34.7 MiB
2025-07-07 16:23:20,34.7 MiB
2025-07-07 16:23:21,34.7 MiB
2025-07-07 16:23:22,34.7 MiB
2025-07-07 16:23:23,34.7 MiB
2025-07-07 16:23:24,34.7 MiB
2025-07-07 16:23:25,34.7 MiB
2025-07-07 16:23:26,34.7 MiB
2025-07-07 16:23:27,34.7 MiB
2025-07-07 16:23:28,34.7 MiB
2025-07-07 16:23:29,34.7 MiB
2025-07-07 16:23:30,35.0 MiB
2025-07-07 16:23:31,35.0 MiB
2025-07-07 16:23:32,35.0 MiB
2025-07-07 16:23:33,35.0 MiB
2025-07-07 16:23:34,35.0 MiB
2025-07-07 16:23:35,35.0 MiB
2025-07-07 16:23:36,35.0 MiB
2025-07-07 16:23:37,35.0 MiB
2025-07-07 16:23:38,35.0 MiB
2025-07-07 16:23:39,35.0 MiB
2025-07-07 16:23:40,35.0 MiB
2025-07-07 16:23:41,34.9 MiB
2025-07-07 16:23:42,34.9 MiB
2025-07-07 16:23:43,34.9 MiB
2025-07-07 16:23:44,34.9 MiB
2025-07-07 16:23:45,34.9 MiB
2025-07-07 16:23:46,34.9 MiB
2025-07-07 16:23:47,34.9 MiB
2025-07-07 16:23:48,34.9 MiB
2025-07-07 16:23:49,34.9 MiB
2025-07-07 16:23:50,34.9 MiB
2025-07-07 16:23:51,34.9 MiB
2025-07-07 16:23:52,34.9 MiB
2025-07-07 16:23:53,34.9 MiB
2025-07-07 16:23:54,34.9 MiB
2025-07-07 16:23:55,34.9 MiB
2025-07-07 16:23:56,34.9 MiB
2025-07-07 16:23:57,34.9 MiB
2025-07-07 16:23:58,35.1 MiB
2025-07-07 16:23:59,35.1 MiB
2025-07-07 16:24:00,35.1 MiB
2025-07-07 16:24:01,35.1 MiB
2025-07-07 16:24:02,35.1 MiB
2025-07-07 16:24:03,35.1 MiB
2025-07-07 16:24:04,35.1 MiB
2025-07-07 16:24:05,35.1 MiB
2025-07-07 16:24:06,35.1 MiB
2025-07-07 16:24:07,35.1 MiB
2025-07-07 16:24:08,35.1 MiB
2025-07-07 16:24:09,35.1 MiB
2025-07-07 16:24:10,35.1 MiB
2025-07-07 16:24:11,35.1 MiB
2025-07-07 16:24:12,35.1 MiB
2025-07-07 16:24:13,35.1 MiB
2025-07-07 16:24:14,35.1 MiB
2025-07-07 16:24:15,35.1 MiB
2025-07-07 16:24:16,35.2 MiB
2025-07-07 16:24:17,35.2 MiB
2025-07-07 16:24:18,35.2 MiB
2025-07-07 16:24:19,35.2 MiB
2025-07-07 16:24:20,35.2 MiB
2025-07-07 16:24:21,35.2 MiB
2025-07-07 16:24:22,35.2 MiB
2025-07-07 16:24:23,35.2 MiB
2025-07-07 16:24:24,35.2 MiB
