"Time","{instance=""worker3"", interface=""lxc53e184f941ad""}"
2025-07-07 10:46:08,488 B/s
2025-07-07 10:46:09,488 B/s
2025-07-07 10:46:10,488 B/s
2025-07-07 10:46:11,488 B/s
2025-07-07 10:46:12,488 B/s
2025-07-07 10:46:13,488 B/s
2025-07-07 10:46:14,416 B/s
2025-07-07 10:46:15,408 B/s
2025-07-07 10:46:16,400 B/s
2025-07-07 10:46:17,392 B/s
2025-07-07 10:46:18,384 B/s
2025-07-07 10:46:19,485 B/s
2025-07-07 10:46:20,485 B/s
2025-07-07 10:46:21,485 B/s
2025-07-07 10:46:22,485 B/s
2025-07-07 10:46:23,485 B/s
2025-07-07 10:46:24,485 B/s
2025-07-07 10:46:25,485 B/s
2025-07-07 10:46:26,485 B/s
2025-07-07 10:46:27,485 B/s
2025-07-07 10:46:28,485 B/s
2025-07-07 10:46:29,1.65 MB/s
2025-07-07 10:46:30,1.68 MB/s
2025-07-07 10:46:31,1.72 MB/s
2025-07-07 10:46:32,1.75 MB/s
2025-07-07 10:46:33,1.79 MB/s
2025-07-07 10:46:34,2.10 MB/s
2025-07-07 10:46:35,2.10 MB/s
2025-07-07 10:46:36,2.10 MB/s
2025-07-07 10:46:37,2.10 MB/s
2025-07-07 10:46:38,2.10 MB/s
2025-07-07 10:46:39,2.10 MB/s
2025-07-07 10:46:40,2.10 MB/s
2025-07-07 10:46:41,2.10 MB/s
2025-07-07 10:46:42,2.10 MB/s
2025-07-07 10:46:43,2.10 MB/s
2025-07-07 10:46:44,1.79 MB/s
2025-07-07 10:46:45,1.76 MB/s
2025-07-07 10:46:46,1.72 MB/s
2025-07-07 10:46:47,1.69 MB/s
2025-07-07 10:46:48,1.65 MB/s
2025-07-07 10:46:49,5.78 MB/s
2025-07-07 10:46:50,5.78 MB/s
2025-07-07 10:46:51,5.78 MB/s
2025-07-07 10:46:52,5.78 MB/s
2025-07-07 10:46:53,5.78 MB/s
2025-07-07 10:46:54,5.78 MB/s
2025-07-07 10:46:55,5.78 MB/s
2025-07-07 10:46:56,5.78 MB/s
2025-07-07 10:46:57,5.78 MB/s
2025-07-07 10:46:58,5.78 MB/s
2025-07-07 10:46:59,5.67 MB/s
2025-07-07 10:47:00,5.79 MB/s
2025-07-07 10:47:01,5.91 MB/s
2025-07-07 10:47:02,6.03 MB/s
2025-07-07 10:47:03,6.15 MB/s
2025-07-07 10:47:04,7.22 MB/s
2025-07-07 10:47:05,7.22 MB/s
2025-07-07 10:47:06,7.22 MB/s
2025-07-07 10:47:07,7.22 MB/s
2025-07-07 10:47:08,7.22 MB/s
2025-07-07 10:47:09,7.22 MB/s
2025-07-07 10:47:10,7.22 MB/s
2025-07-07 10:47:11,7.22 MB/s
2025-07-07 10:47:12,7.22 MB/s
2025-07-07 10:47:13,7.22 MB/s
2025-07-07 10:47:14,6.18 MB/s
2025-07-07 10:47:15,6.06 MB/s
2025-07-07 10:47:16,5.94 MB/s
2025-07-07 10:47:17,5.82 MB/s
2025-07-07 10:47:18,5.70 MB/s
2025-07-07 10:47:19,4.10 MB/s
2025-07-07 10:47:20,4.10 MB/s
2025-07-07 10:47:21,4.10 MB/s
2025-07-07 10:47:22,4.10 MB/s
2025-07-07 10:47:23,4.10 MB/s
2025-07-07 10:47:24,4.10 MB/s
2025-07-07 10:47:25,4.10 MB/s
2025-07-07 10:47:26,4.10 MB/s
2025-07-07 10:47:27,4.10 MB/s
2025-07-07 10:47:28,4.10 MB/s
2025-07-07 10:47:29,362 B/s
2025-07-07 10:47:30,369 B/s
2025-07-07 10:47:31,377 B/s
2025-07-07 10:47:32,385 B/s
2025-07-07 10:47:33,393 B/s
2025-07-07 10:47:34,462 B/s
2025-07-07 10:47:35,462 B/s
2025-07-07 10:47:36,462 B/s
2025-07-07 10:47:37,462 B/s
2025-07-07 10:47:38,462 B/s
2025-07-07 10:47:39,462 B/s
2025-07-07 10:47:40,462 B/s
2025-07-07 10:47:41,462 B/s
2025-07-07 10:47:42,462 B/s
2025-07-07 10:47:43,462 B/s
2025-07-07 10:47:44,396 B/s
2025-07-07 10:47:45,388 B/s
2025-07-07 10:47:46,381 B/s
2025-07-07 10:47:47,373 B/s
2025-07-07 10:47:48,365 B/s
2025-07-07 10:47:49,462 B/s
2025-07-07 10:47:50,462 B/s
2025-07-07 10:47:51,462 B/s
2025-07-07 10:47:52,462 B/s
2025-07-07 10:47:53,462 B/s
2025-07-07 10:47:54,462 B/s
2025-07-07 10:47:55,462 B/s
2025-07-07 10:47:56,462 B/s
2025-07-07 10:47:57,462 B/s
2025-07-07 10:47:58,462 B/s
2025-07-07 10:47:59,364 B/s
2025-07-07 10:48:00,371 B/s
2025-07-07 10:48:01,379 B/s
2025-07-07 10:48:02,387 B/s
2025-07-07 10:48:03,395 B/s
2025-07-07 10:48:04,402 B/s
2025-07-07 10:48:05,465 B/s
2025-07-07 10:48:06,465 B/s
2025-07-07 10:48:07,465 B/s
2025-07-07 10:48:08,465 B/s
2025-07-07 10:48:09,465 B/s
2025-07-07 10:48:10,465 B/s
2025-07-07 10:48:11,465 B/s
2025-07-07 10:48:12,465 B/s
2025-07-07 10:48:13,465 B/s
2025-07-07 10:48:14,399 B/s
2025-07-07 10:48:15,392 B/s
2025-07-07 10:48:16,384 B/s
2025-07-07 10:48:17,376 B/s
2025-07-07 10:48:18,368 B/s
2025-07-07 10:48:19,468 B/s
2025-07-07 10:48:20,468 B/s
2025-07-07 10:48:21,468 B/s
2025-07-07 10:48:22,468 B/s
2025-07-07 10:48:23,468 B/s
2025-07-07 10:48:24,468 B/s
2025-07-07 10:48:25,468 B/s
2025-07-07 10:48:26,468 B/s
2025-07-07 10:48:27,468 B/s
2025-07-07 10:48:28,468 B/s
2025-07-07 10:48:29,372 B/s
2025-07-07 10:48:30,374 B/s
2025-07-07 10:48:31,382 B/s
2025-07-07 10:48:32,390 B/s
2025-07-07 10:48:33,398 B/s
2025-07-07 10:48:34,405 B/s
2025-07-07 10:48:35,469 B/s
2025-07-07 10:48:36,469 B/s
2025-07-07 10:48:37,469 B/s
2025-07-07 10:48:38,469 B/s
2025-07-07 10:48:39,469 B/s
2025-07-07 10:48:40,469 B/s
2025-07-07 10:48:41,469 B/s
2025-07-07 10:48:42,469 B/s
2025-07-07 10:48:43,469 B/s
2025-07-07 10:48:44,404 B/s
2025-07-07 10:48:45,396 B/s
2025-07-07 10:48:46,389 B/s
2025-07-07 10:48:47,381 B/s
2025-07-07 10:48:48,373 B/s
2025-07-07 10:48:49,371 B/s
2025-07-07 10:48:50,3.75 MB/s
2025-07-07 10:48:51,3.75 MB/s
2025-07-07 10:48:52,3.75 MB/s
2025-07-07 10:48:53,3.75 MB/s
2025-07-07 10:48:54,3.75 MB/s
2025-07-07 10:48:55,3.75 MB/s
2025-07-07 10:48:56,3.75 MB/s
2025-07-07 10:48:57,3.75 MB/s
2025-07-07 10:48:58,3.75 MB/s
2025-07-07 10:48:59,4.96 MB/s
2025-07-07 10:49:00,6.49 MB/s
2025-07-07 10:49:01,6.63 MB/s
2025-07-07 10:49:02,6.76 MB/s
2025-07-07 10:49:03,6.90 MB/s
2025-07-07 10:49:04,7.03 MB/s
2025-07-07 10:49:05,8.15 MB/s
2025-07-07 10:49:06,8.15 MB/s
2025-07-07 10:49:07,8.15 MB/s
2025-07-07 10:49:08,8.15 MB/s
2025-07-07 10:49:09,8.15 MB/s
2025-07-07 10:49:10,8.15 MB/s
2025-07-07 10:49:11,8.15 MB/s
2025-07-07 10:49:12,8.15 MB/s
2025-07-07 10:49:13,8.15 MB/s
2025-07-07 10:49:14,7.04 MB/s
2025-07-07 10:49:15,6.90 MB/s
2025-07-07 10:49:16,6.76 MB/s
2025-07-07 10:49:17,6.63 MB/s
2025-07-07 10:49:18,6.49 MB/s
2025-07-07 10:49:19,8.64 MB/s
2025-07-07 10:49:20,12.0 MB/s
2025-07-07 10:49:21,12.0 MB/s
