"Time","image-filter-cfbfd9b5f-zgrv9"
2025-07-07 10:44:37,0.00391 cores
2025-07-07 10:44:38,0.00383 cores
2025-07-07 10:44:39,0.00374 cores
2025-07-07 10:44:40,0.00366 cores
2025-07-07 10:44:41,0.00358 cores
2025-07-07 10:44:42,0.00350 cores
2025-07-07 10:44:43,0.00342 cores
2025-07-07 10:44:44,0.00334 cores
2025-07-07 10:44:45,0.00326 cores
2025-07-07 10:44:46,0.00266 cores
2025-07-07 10:44:47,0.00259 cores
2025-07-07 10:44:48,0.00253 cores
2025-07-07 10:44:49,0.00247 cores
2025-07-07 10:44:50,0.00195 cores
2025-07-07 10:44:51,0.00195 cores
2025-07-07 10:44:52,0.00195 cores
2025-07-07 10:44:53,0.00195 cores
2025-07-07 10:44:54,0.00195 cores
2025-07-07 10:44:55,0.00195 cores
2025-07-07 10:44:56,0.000722 cores
2025-07-07 10:44:57,0.000722 cores
2025-07-07 10:44:58,0.000722 cores
2025-07-07 10:44:59,0.000722 cores
2025-07-07 10:45:00,0.000722 cores
2025-07-07 10:45:01,0.000722 cores
2025-07-07 10:45:02,0.000722 cores
2025-07-07 10:45:03,0.000722 cores
2025-07-07 10:45:04,0.000722 cores
2025-07-07 10:45:05,0.000728 cores
2025-07-07 10:45:06,0.000728 cores
2025-07-07 10:45:07,0.000728 cores
2025-07-07 10:45:08,0.000728 cores
2025-07-07 10:45:09,0.000728 cores
2025-07-07 10:45:10,0.000728 cores
2025-07-07 10:45:11,0.000728 cores
2025-07-07 10:45:12,0.000728 cores
2025-07-07 10:45:13,0.000728 cores
2025-07-07 10:45:14,0.000728 cores
2025-07-07 10:45:15,0.000728 cores
2025-07-07 10:45:16,0.000728 cores
2025-07-07 10:45:17,0.000728 cores
2025-07-07 10:45:18,0.000440 cores
2025-07-07 10:45:19,0.000451 cores
2025-07-07 10:45:20,0.000463 cores
2025-07-07 10:45:21,0.000475 cores
2025-07-07 10:45:22,0.000488 cores
2025-07-07 10:45:23,0.000500 cores
2025-07-07 10:45:24,0.000512 cores
2025-07-07 10:45:25,0.000525 cores
2025-07-07 10:45:26,0.000537 cores
2025-07-07 10:45:27,0.000549 cores
2025-07-07 10:45:28,0.000562 cores
2025-07-07 10:45:29,0.000582 cores
2025-07-07 10:45:30,0.000595 cores
2025-07-07 10:45:31,0.000608 cores
2025-07-07 10:45:32,0.000620 cores
2025-07-07 10:45:33,0.000633 cores
2025-07-07 10:45:34,0.000646 cores
2025-07-07 10:45:35,0.000658 cores
2025-07-07 10:45:36,0.000762 cores
2025-07-07 10:45:37,0.000762 cores
2025-07-07 10:45:38,0.000762 cores
2025-07-07 10:45:39,0.000762 cores
2025-07-07 10:45:40,0.000762 cores
2025-07-07 10:45:41,0.000762 cores
2025-07-07 10:45:42,0.000762 cores
2025-07-07 10:45:43,0.000655 cores
2025-07-07 10:45:44,0.000763 cores
2025-07-07 10:45:45,0.000763 cores
2025-07-07 10:45:46,0.000763 cores
2025-07-07 10:45:47,0.000763 cores
2025-07-07 10:45:48,0.000763 cores
2025-07-07 10:45:49,0.000763 cores
2025-07-07 10:45:50,0.000772 cores
2025-07-07 10:45:51,0.000772 cores
2025-07-07 10:45:52,0.000772 cores
2025-07-07 10:45:53,0.000772 cores
2025-07-07 10:45:54,0.000772 cores
2025-07-07 10:45:55,0.000772 cores
2025-07-07 10:45:56,0.000772 cores
2025-07-07 10:45:57,0.000772 cores
2025-07-07 10:45:58,0.000664 cores
2025-07-07 10:45:59,0.000651 cores
2025-07-07 10:46:00,0.000769 cores
2025-07-07 10:46:01,0.000769 cores
2025-07-07 10:46:02,0.000769 cores
2025-07-07 10:46:03,0.000769 cores
2025-07-07 10:46:04,0.000769 cores
2025-07-07 10:46:05,0.000778 cores
2025-07-07 10:46:06,0.000778 cores
2025-07-07 10:46:07,0.000778 cores
2025-07-07 10:46:08,0.000778 cores
2025-07-07 10:46:09,0.000778 cores
2025-07-07 10:46:10,0.000778 cores
2025-07-07 10:46:11,0.000778 cores
2025-07-07 10:46:12,0.000778 cores
2025-07-07 10:46:13,0.000778 cores
2025-07-07 10:46:14,0.000778 cores
2025-07-07 10:46:15,0.000832 cores
2025-07-07 10:46:16,0.000832 cores
2025-07-07 10:46:17,0.000832 cores
2025-07-07 10:46:18,0.000832 cores
2025-07-07 10:46:19,0.000833 cores
2025-07-07 10:46:20,0.000833 cores
2025-07-07 10:46:21,0.000833 cores
2025-07-07 10:46:22,0.000833 cores
2025-07-07 10:46:23,0.000833 cores
2025-07-07 10:46:24,0.000833 cores
2025-07-07 10:46:25,0.000833 cores
2025-07-07 10:46:26,0.000833 cores
2025-07-07 10:46:27,0.000833 cores
2025-07-07 10:46:28,0.000833 cores
2025-07-07 10:46:29,0.000865 cores
2025-07-07 10:46:30,0.000865 cores
2025-07-07 10:46:31,0.000865 cores
2025-07-07 10:46:32,0.00324 cores
