"Time","image-preprocess-6c747ff9dc-xzjl6"
2025-07-07 10:44:28,0.187 cores
2025-07-07 10:44:29,0.187 cores
2025-07-07 10:44:30,0.146 cores
2025-07-07 10:44:31,0.146 cores
2025-07-07 10:44:32,0.146 cores
2025-07-07 10:44:33,0.146 cores
2025-07-07 10:44:34,0.146 cores
2025-07-07 10:44:35,0.200 cores
2025-07-07 10:44:36,0.200 cores
2025-07-07 10:44:37,0.200 cores
2025-07-07 10:44:38,0.200 cores
2025-07-07 10:44:39,0.200 cores
2025-07-07 10:44:40,0.200 cores
2025-07-07 10:44:41,0.200 cores
2025-07-07 10:44:42,0.200 cores
2025-07-07 10:44:43,0.200 cores
2025-07-07 10:44:44,0.172 cores
2025-07-07 10:44:45,0.169 cores
2025-07-07 10:44:46,0.142 cores
2025-07-07 10:44:47,0.142 cores
2025-07-07 10:44:48,0.142 cores
2025-07-07 10:44:49,0.142 cores
2025-07-07 10:44:50,0.000738 cores
2025-07-07 10:44:51,0.000738 cores
2025-07-07 10:44:52,0.000738 cores
2025-07-07 10:44:53,0.000738 cores
2025-07-07 10:44:54,0.000738 cores
2025-07-07 10:44:55,0.000738 cores
2025-07-07 10:44:56,0.000738 cores
2025-07-07 10:44:57,0.000737 cores
2025-07-07 10:44:58,0.000737 cores
2025-07-07 10:44:59,0.000737 cores
2025-07-07 10:45:00,0.000737 cores
2025-07-07 10:45:01,0.000737 cores
2025-07-07 10:45:02,0.000737 cores
2025-07-07 10:45:03,0.000737 cores
2025-07-07 10:45:04,0.000730 cores
2025-07-07 10:45:05,0.000730 cores
2025-07-07 10:45:06,0.000730 cores
2025-07-07 10:45:07,0.000730 cores
2025-07-07 10:45:08,0.000730 cores
2025-07-07 10:45:09,0.000730 cores
2025-07-07 10:45:10,0.000730 cores
2025-07-07 10:45:11,0.000730 cores
2025-07-07 10:45:12,0.000628 cores
2025-07-07 10:45:13,0.000616 cores
2025-07-07 10:45:14,0.000604 cores
2025-07-07 10:45:15,0.000591 cores
2025-07-07 10:45:16,0.000579 cores
2025-07-07 10:45:17,0.000732 cores
2025-07-07 10:45:18,0.000742 cores
2025-07-07 10:45:19,0.000742 cores
2025-07-07 10:45:20,0.000742 cores
2025-07-07 10:45:21,0.000742 cores
2025-07-07 10:45:22,0.000742 cores
2025-07-07 10:45:23,0.000742 cores
2025-07-07 10:45:24,0.000742 cores
2025-07-07 10:45:25,0.000742 cores
2025-07-07 10:45:26,0.000742 cores
2025-07-07 10:45:27,0.000742 cores
2025-07-07 10:45:28,0.000742 cores
2025-07-07 10:45:29,0.000742 cores
2025-07-07 10:45:30,0.000737 cores
2025-07-07 10:45:31,0.000725 cores
2025-07-07 10:45:32,0.000725 cores
2025-07-07 10:45:33,0.000725 cores
2025-07-07 10:45:34,0.000725 cores
2025-07-07 10:45:35,0.000725 cores
2025-07-07 10:45:36,0.000725 cores
2025-07-07 10:45:37,0.000725 cores
2025-07-07 10:45:38,0.000725 cores
2025-07-07 10:45:39,0.000725 cores
2025-07-07 10:45:40,0.000725 cores
2025-07-07 10:45:41,0.000725 cores
2025-07-07 10:45:42,0.000725 cores
2025-07-07 10:45:43,0.000740 cores
2025-07-07 10:45:44,0.000740 cores
2025-07-07 10:45:45,0.000740 cores
2025-07-07 10:45:46,0.000741 cores
2025-07-07 10:45:47,0.000741 cores
2025-07-07 10:45:48,0.000741 cores
2025-07-07 10:45:49,0.000741 cores
2025-07-07 10:45:50,0.000741 cores
2025-07-07 10:45:51,0.000741 cores
2025-07-07 10:45:52,0.000741 cores
2025-07-07 10:45:53,0.000741 cores
2025-07-07 10:45:54,0.000724 cores
2025-07-07 10:45:55,0.000724 cores
2025-07-07 10:45:56,0.000724 cores
2025-07-07 10:45:57,0.000552 cores
2025-07-07 10:45:58,0.000564 cores
2025-07-07 10:45:59,0.000576 cores
2025-07-07 10:46:00,0.000588 cores
2025-07-07 10:46:01,0.000600 cores
2025-07-07 10:46:02,0.000612 cores
2025-07-07 10:46:03,0.000623 cores
2025-07-07 10:46:04,0.000716 cores
2025-07-07 10:46:05,0.000716 cores
2025-07-07 10:46:06,0.000716 cores
2025-07-07 10:46:07,0.000716 cores
2025-07-07 10:46:08,0.000622 cores
2025-07-07 10:46:09,0.000610 cores
2025-07-07 10:46:10,0.000598 cores
2025-07-07 10:46:11,0.000732 cores
2025-07-07 10:46:12,0.000732 cores
2025-07-07 10:46:13,0.000732 cores
2025-07-07 10:46:14,0.000732 cores
2025-07-07 10:46:15,0.000732 cores
2025-07-07 10:46:16,0.000732 cores
2025-07-07 10:46:17,0.000743 cores
2025-07-07 10:46:18,0.000743 cores
2025-07-07 10:46:19,0.000743 cores
2025-07-07 10:46:20,0.000743 cores
2025-07-07 10:46:21,0.000743 cores
2025-07-07 10:46:22,0.000743 cores
2025-07-07 10:46:23,0.000743 cores
2025-07-07 10:46:24,0.000743 cores
2025-07-07 10:46:25,0.000743 cores
2025-07-07 10:46:26,0.000633 cores
2025-07-07 10:46:27,0.000620 cores
2025-07-07 10:46:28,0.000608 cores
2025-07-07 10:46:29,0.000596 cores
2025-07-07 10:46:30,0.000583 cores
2025-07-07 10:46:31,0.000557 cores
2025-07-07 10:46:32,0.000545 cores
2025-07-07 10:46:33,0.000533 cores
2025-07-07 10:46:34,0.166 cores
2025-07-07 10:46:35,0.166 cores
2025-07-07 10:46:36,0.166 cores
2025-07-07 10:46:37,0.166 cores
2025-07-07 10:46:38,0.166 cores
2025-07-07 10:46:39,0.166 cores
2025-07-07 10:46:40,0.166 cores
2025-07-07 10:46:41,0.166 cores
2025-07-07 10:46:42,0.166 cores
2025-07-07 10:46:43,0.213 cores
2025-07-07 10:46:44,0.213 cores
2025-07-07 10:46:45,0.213 cores
2025-07-07 10:46:46,0.213 cores
2025-07-07 10:46:47,0.213 cores
2025-07-07 10:46:48,0.213 cores
2025-07-07 10:46:49,0.213 cores
2025-07-07 10:46:50,0.213 cores
2025-07-07 10:46:51,0.213 cores
2025-07-07 10:46:52,0.213 cores
2025-07-07 10:46:53,0.213 cores
2025-07-07 10:46:54,0.365 cores
2025-07-07 10:46:55,0.365 cores
2025-07-07 10:46:56,0.365 cores
2025-07-07 10:46:57,0.365 cores
2025-07-07 10:46:58,0.365 cores
2025-07-07 10:46:59,0.365 cores
2025-07-07 10:47:00,0.274 cores
2025-07-07 10:47:01,0.268 cores
2025-07-07 10:47:02,0.262 cores
2025-07-07 10:47:03,0.256 cores
2025-07-07 10:47:04,0.250 cores
2025-07-07 10:47:05,0.299 cores
2025-07-07 10:47:06,0.299 cores
2025-07-07 10:47:07,0.299 cores
2025-07-07 10:47:08,0.299 cores
2025-07-07 10:47:09,0.299 cores
2025-07-07 10:47:10,0.299 cores
2025-07-07 10:47:11,0.249 cores
2025-07-07 10:47:12,0.249 cores
