"Time","image-stats-746c9bfb67-85h7x"
2025-07-07 10:46:16,0.000695 cores
2025-07-07 10:46:17,0.000695 cores
2025-07-07 10:46:18,0.000695 cores
2025-07-07 10:46:19,0.000695 cores
2025-07-07 10:46:20,0.000695 cores
2025-07-07 10:46:21,0.000695 cores
2025-07-07 10:46:22,0.000695 cores
2025-07-07 10:46:23,0.000695 cores
2025-07-07 10:46:24,0.000695 cores
2025-07-07 10:46:25,0.000695 cores
2025-07-07 10:46:26,0.000596 cores
2025-07-07 10:46:27,0.00145 cores
2025-07-07 10:46:28,0.00145 cores
2025-07-07 10:46:29,0.00145 cores
2025-07-07 10:46:30,0.00149 cores
2025-07-07 10:46:31,0.00152 cores
2025-07-07 10:46:32,0.00155 cores
2025-07-07 10:46:33,0.00180 cores
2025-07-07 10:46:34,0.00180 cores
2025-07-07 10:46:35,0.00180 cores
2025-07-07 10:46:36,0.00180 cores
2025-07-07 10:46:37,0.00180 cores
2025-07-07 10:46:38,0.00180 cores
2025-07-07 10:46:39,0.00180 cores
2025-07-07 10:46:40,0.00180 cores
2025-07-07 10:46:41,0.00180 cores
2025-07-07 10:46:42,0.00153 cores
2025-07-07 10:46:43,0.00150 cores
2025-07-07 10:46:44,0.00147 cores
2025-07-07 10:46:45,0.00504 cores
2025-07-07 10:46:46,0.00504 cores
2025-07-07 10:46:47,0.00636 cores
2025-07-07 10:46:48,0.00636 cores
2025-07-07 10:46:49,0.00636 cores
2025-07-07 10:46:50,0.00636 cores
2025-07-07 10:46:51,0.00636 cores
2025-07-07 10:46:52,0.00636 cores
2025-07-07 10:46:53,0.00636 cores
2025-07-07 10:46:54,0.00636 cores
2025-07-07 10:46:55,0.00636 cores
2025-07-07 10:46:56,0.00636 cores
2025-07-07 10:46:57,0.00636 cores
2025-07-07 10:46:58,0.00636 cores
2025-07-07 10:46:59,0.00636 cores
2025-07-07 10:47:00,0.00808 cores
2025-07-07 10:47:01,0.00572 cores
2025-07-07 10:47:02,0.00572 cores
2025-07-07 10:47:03,0.00572 cores
2025-07-07 10:47:04,0.00572 cores
2025-07-07 10:47:05,0.00572 cores
2025-07-07 10:47:06,0.00572 cores
2025-07-07 10:47:07,0.00572 cores
2025-07-07 10:47:08,0.00572 cores
2025-07-07 10:47:09,0.00572 cores
2025-07-07 10:47:10,0.00572 cores
2025-07-07 10:47:11,0.00681 cores
2025-07-07 10:47:12,0.00681 cores
2025-07-07 10:47:13,0.00681 cores
2025-07-07 10:47:14,0.00681 cores
2025-07-07 10:47:15,0.00681 cores
2025-07-07 10:47:16,0.00681 cores
2025-07-07 10:47:17,0.00681 cores
2025-07-07 10:47:18,0.00681 cores
2025-07-07 10:47:19,0.00562 cores
2025-07-07 10:47:20,0.00460 cores
2025-07-07 10:47:21,0.00460 cores
