"Time","{instance=""worker3"", interface=""lxcc7a949fee869""}"
2025-07-07 15:12:00,390 B/s
2025-07-07 15:12:02,406 B/s
2025-07-07 15:12:04,469 B/s
2025-07-07 15:12:06,469 B/s
2025-07-07 15:12:08,469 B/s
2025-07-07 15:12:10,469 B/s
2025-07-07 15:12:12,404 B/s
2025-07-07 15:12:14,388 B/s
2025-07-07 15:12:16,372 B/s
2025-07-07 15:12:18,480 B/s
2025-07-07 15:12:20,480 B/s
2025-07-07 15:12:22,480 B/s
2025-07-07 15:12:24,480 B/s
2025-07-07 15:12:26,480 B/s
2025-07-07 15:12:28,385 B/s
2025-07-07 15:12:30,401 B/s
2025-07-07 15:12:32,417 B/s
2025-07-07 15:12:34,484 B/s
2025-07-07 15:12:36,484 B/s
2025-07-07 15:12:38,484 B/s
2025-07-07 15:12:40,484 B/s
2025-07-07 15:12:42,417 B/s
2025-07-07 15:12:44,401 B/s
2025-07-07 15:12:46,385 B/s
2025-07-07 15:12:48,2.47 kB/s
2025-07-07 15:12:50,2.47 kB/s
2025-07-07 15:12:52,2.47 kB/s
2025-07-07 15:12:54,2.47 kB/s
2025-07-07 15:12:56,2.47 kB/s
2025-07-07 15:12:58,2.46 kB/s
2025-07-07 15:13:00,2.56 kB/s
2025-07-07 15:13:02,2.66 kB/s
2025-07-07 15:13:04,3.09 kB/s
2025-07-07 15:13:06,3.09 kB/s
2025-07-07 15:13:08,3.09 kB/s
2025-07-07 15:13:10,3.09 kB/s
2025-07-07 15:13:12,2.67 kB/s
2025-07-07 15:13:14,2.57 kB/s
2025-07-07 15:13:16,2.46 kB/s
2025-07-07 15:13:18,3.08 kB/s
2025-07-07 15:13:20,2.86 kB/s
2025-07-07 15:13:22,2.86 kB/s
2025-07-07 15:13:24,2.86 kB/s
2025-07-07 15:13:26,2.86 kB/s
2025-07-07 15:13:28,1.04 kB/s
2025-07-07 15:13:30,907 B/s
2025-07-07 15:13:32,1.09 kB/s
2025-07-07 15:13:34,1.09 kB/s
2025-07-07 15:13:36,1.09 kB/s
2025-07-07 15:13:38,1.09 kB/s
2025-07-07 15:13:40,1.09 kB/s
2025-07-07 15:13:42,1.09 kB/s
2025-07-07 15:13:44,1.09 kB/s
2025-07-07 15:13:46,924 B/s
2025-07-07 15:13:48,932 B/s
2025-07-07 15:13:50,873 B/s
2025-07-07 15:13:52,873 B/s
2025-07-07 15:13:54,873 B/s
2025-07-07 15:13:56,873 B/s
2025-07-07 15:13:58,363 B/s
2025-07-07 15:14:00,382 B/s
2025-07-07 15:14:02,398 B/s
2025-07-07 15:14:04,414 B/s
2025-07-07 15:14:06,488 B/s
2025-07-07 15:14:08,488 B/s
2025-07-07 15:14:10,488 B/s
2025-07-07 15:14:12,488 B/s
2025-07-07 15:14:14,488 B/s
2025-07-07 15:14:16,412 B/s
2025-07-07 15:14:18,396 B/s
2025-07-07 15:14:20,649 B/s
2025-07-07 15:14:22,649 B/s
2025-07-07 15:14:24,649 B/s
2025-07-07 15:14:26,649 B/s
2025-07-07 15:14:28,649 B/s
2025-07-07 15:14:30,608 B/s
2025-07-07 15:14:32,566 B/s
