"Time","{instance=""worker3"", interface=""lxcc7a949fee869""}"
2025-07-07 15:12:00,899 B/s
2025-07-07 15:12:02,935 B/s
2025-07-07 15:12:04,1.08 kB/s
2025-07-07 15:12:06,1.08 kB/s
2025-07-07 15:12:08,1.08 kB/s
2025-07-07 15:12:10,1.08 kB/s
2025-07-07 15:12:12,930 B/s
2025-07-07 15:12:14,894 B/s
2025-07-07 15:12:16,858 B/s
2025-07-07 15:12:18,1.05 kB/s
2025-07-07 15:12:20,1.05 kB/s
2025-07-07 15:12:22,1.05 kB/s
2025-07-07 15:12:24,1.05 kB/s
2025-07-07 15:12:26,1.05 kB/s
2025-07-07 15:12:28,861 B/s
2025-07-07 15:12:30,897 B/s
2025-07-07 15:12:32,933 B/s
2025-07-07 15:12:34,1.08 kB/s
2025-07-07 15:12:36,1.08 kB/s
2025-07-07 15:12:38,1.08 kB/s
2025-07-07 15:12:40,1.08 kB/s
2025-07-07 15:12:42,932 B/s
2025-07-07 15:12:44,896 B/s
2025-07-07 15:12:46,860 B/s
2025-07-07 15:12:48,1.60 kB/s
2025-07-07 15:12:50,1.60 kB/s
2025-07-07 15:12:52,1.60 kB/s
2025-07-07 15:12:54,1.60 kB/s
2025-07-07 15:12:56,1.60 kB/s
2025-07-07 15:12:58,1.42 kB/s
2025-07-07 15:13:00,1.48 kB/s
2025-07-07 15:13:02,1.54 kB/s
2025-07-07 15:13:04,1.78 kB/s
2025-07-07 15:13:06,1.78 kB/s
2025-07-07 15:13:08,1.78 kB/s
2025-07-07 15:13:10,1.78 kB/s
2025-07-07 15:13:12,1.54 kB/s
2025-07-07 15:13:14,1.48 kB/s
2025-07-07 15:13:16,1.42 kB/s
2025-07-07 15:13:18,1.55 kB/s
2025-07-07 15:13:20,1.64 kB/s
2025-07-07 15:13:22,1.64 kB/s
2025-07-07 15:13:24,1.64 kB/s
2025-07-07 15:13:26,1.64 kB/s
2025-07-07 15:13:28,965 B/s
2025-07-07 15:13:30,982 B/s
2025-07-07 15:13:32,1.18 kB/s
2025-07-07 15:13:34,1.18 kB/s
2025-07-07 15:13:36,1.18 kB/s
2025-07-07 15:13:38,1.18 kB/s
2025-07-07 15:13:40,1.18 kB/s
2025-07-07 15:13:42,1.18 kB/s
2025-07-07 15:13:44,1.18 kB/s
2025-07-07 15:13:46,1.00 kB/s
2025-07-07 15:13:48,974 B/s
2025-07-07 15:13:50,1.12 kB/s
2025-07-07 15:13:52,1.12 kB/s
2025-07-07 15:13:54,1.12 kB/s
2025-07-07 15:13:56,1.12 kB/s
2025-07-07 15:13:58,822 B/s
2025-07-07 15:14:00,861 B/s
2025-07-07 15:14:02,897 B/s
2025-07-07 15:14:04,934 B/s
2025-07-07 15:14:06,1.10 kB/s
2025-07-07 15:14:08,1.10 kB/s
2025-07-07 15:14:10,1.10 kB/s
2025-07-07 15:14:12,1.10 kB/s
2025-07-07 15:14:14,1.10 kB/s
2025-07-07 15:14:16,929 B/s
2025-07-07 15:14:18,892 B/s
2025-07-07 15:14:20,58.4 kB/s
2025-07-07 15:14:22,58.4 kB/s
2025-07-07 15:14:24,58.4 kB/s
2025-07-07 15:14:26,58.4 kB/s
2025-07-07 15:14:28,58.4 kB/s
2025-07-07 15:14:30,76.7 kB/s
2025-07-07 15:14:32,59.2 kB/s
2025-07-07 15:14:34,61.6 kB/s
2025-07-07 15:14:36,72.8 kB/s
2025-07-07 15:14:38,72.8 kB/s
2025-07-07 15:14:40,72.8 kB/s
2025-07-07 15:14:42,72.8 kB/s
2025-07-07 15:14:44,72.8 kB/s
2025-07-07 15:14:46,61.5 kB/s
2025-07-07 15:14:48,59.1 kB/s
2025-07-07 15:14:50,76.6 kB/s
2025-07-07 15:14:52,116 kB/s
2025-07-07 15:14:54,116 kB/s
2025-07-07 15:14:56,116 kB/s
2025-07-07 15:14:58,116 kB/s
2025-07-07 15:15:00,76.5 kB/s
2025-07-07 15:15:02,117 kB/s
2025-07-07 15:15:04,122 kB/s
2025-07-07 15:15:06,144 kB/s
2025-07-07 15:15:08,144 kB/s
2025-07-07 15:15:10,144 kB/s
2025-07-07 15:15:12,144 kB/s
2025-07-07 15:15:14,144 kB/s
2025-07-07 15:15:16,122 kB/s
2025-07-07 15:15:18,117 kB/s
2025-07-07 15:15:20,152 kB/s
2025-07-07 15:15:22,173 kB/s
2025-07-07 15:15:24,173 kB/s
2025-07-07 15:15:26,173 kB/s
2025-07-07 15:15:28,173 kB/s
2025-07-07 15:15:30,173 kB/s
2025-07-07 15:15:32,117 kB/s
