"Time","image-stats-746c9bfb67-ttxt9"
2025-07-07 15:15:46,0.00100 cores
2025-07-07 15:15:48,0.00100 cores
2025-07-07 15:15:50,0.00100 cores
2025-07-07 15:15:52,0.00100 cores
2025-07-07 15:15:54,0.000847 cores
2025-07-07 15:15:56,0.000814 cores
2025-07-07 15:15:58,0.000936 cores
2025-07-07 15:16:00,0.000936 cores
2025-07-07 15:16:02,0.000936 cores
2025-07-07 15:16:04,0.000936 cores
2025-07-07 15:16:06,0.000936 cores
2025-07-07 15:16:08,0.000936 cores
2025-07-07 15:16:10,0.000888 cores
2025-07-07 15:16:12,0.000888 cores
2025-07-07 15:16:14,0.000888 cores
2025-07-07 15:16:16,0.000881 cores
2025-07-07 15:16:18,0.000881 cores
2025-07-07 15:16:20,0.000881 cores
2025-07-07 15:16:22,0.000881 cores
2025-07-07 15:16:24,0.000881 cores
2025-07-07 15:16:26,0.000861 cores
2025-07-07 15:16:28,0.000861 cores
2025-07-07 15:16:30,0.000861 cores
2025-07-07 15:16:32,0.000861 cores
2025-07-07 15:16:34,0.000837 cores
2025-07-07 15:16:36,0.000837 cores
2025-07-07 15:16:38,0.000677 cores
2025-07-07 15:16:40,0.000827 cores
2025-07-07 15:16:42,0.000827 cores
2025-07-07 15:16:44,0.000827 cores
2025-07-07 15:16:46,0.000827 cores
2025-07-07 15:16:48,0.000840 cores
2025-07-07 15:16:50,0.000840 cores
2025-07-07 15:16:52,0.000840 cores
2025-07-07 15:16:54,0.000840 cores
2025-07-07 15:16:56,0.000840 cores
2025-07-07 15:16:58,0.000667 cores
2025-07-07 15:17:00,0.000792 cores
2025-07-07 15:17:02,0.000792 cores
2025-07-07 15:17:04,0.000792 cores
2025-07-07 15:17:06,0.000792 cores
2025-07-07 15:17:08,0.000792 cores
2025-07-07 15:17:10,0.000792 cores
2025-07-07 15:17:12,0.000816 cores
2025-07-07 15:17:14,0.000816 cores
2025-07-07 15:17:16,0.000677 cores
2025-07-07 15:17:18,0.000705 cores
2025-07-07 15:17:20,0.000828 cores
2025-07-07 15:17:22,0.000828 cores
2025-07-07 15:17:24,0.000828 cores
