"Time","image-filter-cfbfd9b5f-wxs72"
2025-07-07 15:19:28,0.000942 cores
2025-07-07 15:19:30,0.000956 cores
2025-07-07 15:19:32,0.000956 cores
2025-07-07 15:19:34,0.000807 cores
2025-07-07 15:19:36,0.000939 cores
2025-07-07 15:19:38,0.000939 cores
2025-07-07 15:19:40,0.000939 cores
2025-07-07 15:19:42,0.000939 cores
2025-07-07 15:19:44,0.000939 cores
2025-07-07 15:19:46,0.000939 cores
2025-07-07 15:19:48,0.000983 cores
2025-07-07 15:19:50,0.000983 cores
2025-07-07 15:19:52,0.000983 cores
2025-07-07 15:19:54,0.000800 cores
2025-07-07 15:19:56,0.000768 cores
2025-07-07 15:19:58,0.000735 cores
2025-07-07 15:20:00,0.000702 cores
2025-07-07 15:20:02,0.000626 cores
2025-07-07 15:20:04,0.000835 cores
2025-07-07 15:20:06,0.000835 cores
2025-07-07 15:20:08,0.000835 cores
2025-07-07 15:20:10,0.000835 cores
2025-07-07 15:20:12,0.000835 cores
2025-07-07 15:20:14,0.000835 cores
2025-07-07 15:20:16,0.000835 cores
2025-07-07 15:20:18,0.000791 cores
2025-07-07 15:20:20,0.000803 cores
2025-07-07 15:20:22,0.000803 cores
2025-07-07 15:20:24,0.000803 cores
2025-07-07 15:20:26,0.000803 cores
2025-07-07 15:20:28,0.000803 cores
2025-07-07 15:20:30,0.000825 cores
2025-07-07 15:20:32,0.000825 cores
2025-07-07 15:20:34,0.000825 cores
2025-07-07 15:20:36,0.000554 cores
2025-07-07 15:20:38,0.000583 cores
2025-07-07 15:20:40,0.000611 cores
2025-07-07 15:20:42,0.000640 cores
2025-07-07 15:20:44,0.000659 cores
2025-07-07 15:20:46,0.000688 cores
2025-07-07 15:20:48,0.000716 cores
2025-07-07 15:20:50,0.000852 cores
2025-07-07 15:20:52,0.000852 cores
2025-07-07 15:20:54,0.000855 cores
2025-07-07 15:20:56,0.000855 cores
2025-07-07 15:20:58,0.000855 cores
2025-07-07 15:21:00,0.000855 cores
2025-07-07 15:21:02,0.000855 cores
2025-07-07 15:21:04,0.000729 cores
2025-07-07 15:21:06,0.000659 cores
2025-07-07 15:21:08,0.000740 cores
2025-07-07 15:21:10,0.000711 cores
2025-07-07 15:21:12,0.000682 cores
2025-07-07 15:21:14,0.000900 cores
2025-07-07 15:21:16,0.000900 cores
2025-07-07 15:21:18,0.000900 cores
2025-07-07 15:21:20,0.000894 cores
2025-07-07 15:21:22,0.000894 cores
2025-07-07 15:21:24,0.000894 cores
2025-07-07 15:21:26,0.000894 cores
2025-07-07 15:21:28,0.000894 cores
2025-07-07 15:21:30,0.000767 cores
2025-07-07 15:21:32,0.000958 cores
2025-07-07 15:21:34,0.000958 cores
2025-07-07 15:21:36,0.000958 cores
2025-07-07 15:21:38,0.000958 cores
2025-07-07 15:21:40,0.000958 cores
2025-07-07 15:21:42,0.000958 cores
2025-07-07 15:21:44,0.000984 cores
2025-07-07 15:21:46,0.000984 cores
2025-07-07 15:21:48,0.000955 cores
2025-07-07 15:21:50,0.000955 cores
2025-07-07 15:21:52,0.000955 cores
2025-07-07 15:21:54,0.000954 cores
2025-07-07 15:21:56,0.000954 cores
2025-07-07 15:21:58,0.000954 cores
2025-07-07 15:22:00,0.000890 cores
2025-07-07 15:22:02,0.000890 cores
2025-07-07 15:22:04,0.000890 cores
2025-07-07 15:22:06,0.000890 cores
2025-07-07 15:22:08,0.000890 cores
2025-07-07 15:22:10,0.000890 cores
2025-07-07 15:22:12,0.000890 cores
2025-07-07 15:22:14,0.000729 cores
2025-07-07 15:22:16,0.000758 cores
2025-07-07 15:22:18,0.000882 cores
2025-07-07 15:22:20,0.000882 cores
2025-07-07 15:22:22,0.000882 cores
2025-07-07 15:22:24,0.000882 cores
2025-07-07 15:22:26,0.000925 cores
2025-07-07 15:22:28,0.000925 cores
2025-07-07 15:22:30,0.000925 cores
2025-07-07 15:22:32,0.000794 cores
2025-07-07 15:22:34,0.000940 cores
2025-07-07 15:22:36,0.000940 cores
2025-07-07 15:22:38,0.000940 cores
2025-07-07 15:22:40,0.000935 cores
2025-07-07 15:22:42,0.000935 cores
2025-07-07 15:22:44,0.000935 cores
2025-07-07 15:22:46,0.000935 cores
2025-07-07 15:22:48,0.00101 cores
2025-07-07 15:22:50,0.00101 cores
2025-07-07 15:22:52,0.00101 cores
2025-07-07 15:22:54,0.00106 cores
2025-07-07 15:22:56,0.00106 cores
2025-07-07 15:22:58,0.00106 cores
2025-07-07 15:23:00,0.00106 cores
2025-07-07 15:23:02,0.00106 cores
2025-07-07 15:23:04,0.00106 cores
2025-07-07 15:23:06,0.00106 cores
2025-07-07 15:23:08,0.00106 cores
2025-07-07 15:23:10,0.000894 cores
2025-07-07 15:23:12,0.000859 cores
2025-07-07 15:23:14,0.00108 cores
2025-07-07 15:23:16,0.00108 cores
2025-07-07 15:23:18,0.00108 cores
2025-07-07 15:23:20,0.00108 cores
2025-07-07 15:23:22,0.00108 cores
2025-07-07 15:23:24,0.00108 cores
2025-07-07 15:23:26,0.00114 cores
2025-07-07 15:23:28,0.00114 cores
2025-07-07 15:23:30,0.00119 cores
2025-07-07 15:23:32,0.00119 cores
2025-07-07 15:23:34,0.00119 cores
2025-07-07 15:23:36,0.00119 cores
2025-07-07 15:23:38,0.00119 cores
2025-07-07 15:23:40,0.00109 cores
2025-07-07 15:23:42,0.00109 cores
2025-07-07 15:23:44,0.00109 cores
2025-07-07 15:23:46,0.00109 cores
2025-07-07 15:23:48,0.00109 cores
2025-07-07 15:23:50,0.00109 cores
2025-07-07 15:23:52,0.00109 cores
2025-07-07 15:23:54,0.000705 cores
2025-07-07 15:23:56,0.000705 cores
2025-07-07 15:23:58,0.000705 cores
2025-07-07 15:24:00,0.000823 cores
2025-07-07 15:24:02,0.00114 cores
2025-07-07 15:24:04,0.00114 cores
2025-07-07 15:24:06,0.00114 cores
2025-07-07 15:24:08,0.00114 cores
2025-07-07 15:24:10,0.00114 cores
2025-07-07 15:24:12,0.00114 cores
2025-07-07 15:24:14,0.00107 cores
